gene,protein,r1,r2,p1,p2,Class.pr
OAF1,ENO2,0.2666354421582857,0.134723886851849,0.867317866017112,0.62774455870712,No effect
OAF1,FAS1,0.5019511101739881,-0.0342315727694026,0.34006026641636106,0.955356355459764,No effect
OAF1,FAS2,-0.24297043159780138,-0.0832303347240918,0.9863048109504592,0.830225600520728,No effect
OAF1,HTB2,-0.46273327877890896,0.141102491602125,0.6813801064224932,0.76732338709507,No effect
OAF1,RNR2,-0.3937235530168206,0.0802049747667268,0.8361223451303171,0.721916688259558,No effect
OAF1,RPL9A,0.6329783528640103,0.137513031853439,0.47401249822643365,0.48439490876743,No effect
OAF1,SSA1,0.31109110706225995,-0.276118679708768,0.884154959438736,0.298954937562989,No effect
OAF1,TDH1,0.4407645482571199,-0.183574922472368,0.7482630084688913,0.479943024824563,No effect
OAF1,TDH2,0.3708201494776236,-0.0215592836855819,0.8494603581988337,0.972253659175865,No effect
OAF1,TDH3,-0.09051858785650374,-0.026293860965209,0.9010919300405122,0.961126540136957,No effect
OAF1,YHB1,0.28266046575483633,-0.0391112636029484,0.7533611850525578,0.954184132091624,No effect
SWI3,ENO2,0.14872526682467865,-0.127967573301845,0.887956156409248,0.656643913003682,No effect
SWI3,FAS1,0.8775014294580321,-0.184864981525686,0.27432302775872425,0.656372264909799,No effect
SWI3,FAS2,0.20534605847034382,3.19689360643375,0.9863048109504592,3.22959497086681e-60,Study 2 only
SWI3,HTB2,0.4113991934577811,-0.256742374731041,0.30424516836056825,0.504557393688281,No effect
SWI3,RNR2,-0.318915221490298,-0.897197134547366,0.8838794204321081,4.51672765928085e-17,Study 2 only
SWI3,RPL9A,0.3585068164478987,-0.460217792136362,0.18772097671150992,1.7439572626976e-4,No effect
SWI3,SSA1,-0.5068620529371197,0.0174558636345195,0.4488236948750309,0.974149065713372,No effect
SWI3,TDH1,-0.4019536367731909,-0.252746018189751,0.5382443668337993,0.26892743883753,No effect
SWI3,TDH2,0.8795802373858964,0.527368655579457,0.16713254158319263,0.0383127166061442,Study 2 only
SWI3,TDH3,0.2964686696647086,-3.36184488896691,0.9010919300405122,2.11773978790992e-56,Study 2 only
SWI3,YHB1,-0.3056728731765219,-1.27281571849744,0.356552288190372,6.39432057724289e-8,Study 2 only
SET2,ENO2,-0.18597229496054968,0.341882881000036,0.9132401020874646,0.0624599920772108,No effect
SET2,FAS1,0.6879571412694989,0.130609737827794,0.7404487323884329,0.776829947776736,No effect
SET2,FAS2,-0.3154937167200262,-0.0501756377351752,0.9835550970677007,0.907861826409111,No effect
SET2,HTB2,0.22179683340466666,0.249444581469327,0.7095327820334936,0.513414388274765,No effect
SET2,RNR2,-0.5409851340784735,0.00521572002731605,0.5265994819404566,0.987725528037378,No effect
SET2,RPL9A,0.48568065102359453,-0.0260270844850203,0.4205196825767043,0.93487904457065,No effect
SET2,SSA1,0.4407672619171584,0.277359279472102,0.6338413901933604,0.293188660547617,No effect
SET2,TDH1,1.0804354225220896,0.157593162161249,0.0036057868385841467,0.56818455180557,Study 1 only
SET2,TDH2,-0.5927673588838098,0.229221065688065,0.471115648399796,0.524904265780303,No effect
SET2,TDH3,0.2721532918979524,-0.271427103927422,0.9010919300405122,0.339239119246778,No effect
SET2,YHB1,0.20246797361315788,0.110289682387635,0.8981323646314735,0.843692979472313,No effect
SPT10,ENO2,-0.4469527925680779,0.44053589215659,0.8193961322336687,0.00840571194286651,No effect
SPT10,FAS1,-0.9559708506761913,0.138037265007269,0.3206066797560348,0.761109941904132,No effect
SPT10,FAS2,-1.4429025413137886,0.710005302184845,0.05755326917016087,3.28797530113115e-5,Study 2 only
SPT10,HTB2,-2.437058077880639,-0.197843855395019,2.9466597854911075e-16,0.639737884515833,Study 1 only
SPT10,RNR2,-0.9276437939003646,-0.187999054111753,0.19809440382182392,0.232154645244525,No effect
SPT10,RPL9A,-0.7750461614599113,-0.294367293314632,0.1060941819764522,0.0360669634757642,No effect
SPT10,SSA1,1.1005119473814131,-2.73141227651064,0.04375052497994297,2.37217516673014e-46,Opposite
SPT10,TDH1,2.646603967163221,-0.630656350123738,1.1017744546607292e-10,7.33804888799059e-5,Opposite
SPT10,TDH2,0.3131986642187562,-0.196483938476988,0.8803653644371472,0.611491382803652,No effect
SPT10,TDH3,0.43417752210317284,-1.35383142374987,0.885442991850608,2.87048667842349e-14,Study 2 only
SPT10,YHB1,-0.17656308211998514,-0.25332618889859,0.8739496709609068,0.546313984923516,No effect
SIP4,ENO2,-0.1177965317800358,0.321981125652376,0.9040248283361126,0.0887536619360717,No effect
SIP4,FAS1,0.035161001815023685,-0.0220682786968512,0.8992092772273634,0.972244267511423,No effect
SIP4,FAS2,0.13267936576656889,-0.119120613183083,0.9886008371553309,0.730399174893279,No effect
SIP4,HTB2,0.005844986124391296,0.104960153179628,0.8531290911732891,0.840698248066508,No effect
SIP4,RNR2,-0.03475550776066777,0.150877141991721,0.9133681803402599,0.386003756961879,No effect
SIP4,RPL9A,0.26062146828697363,0.137300855575782,0.3544075390976103,0.485413988716967,No effect
SIP4,SSA1,-0.050638240162324995,-0.276760167218641,0.8942855008004571,0.29729552452193,No effect
SIP4,TDH1,0.16127438913036704,-0.222361062005239,0.7598926540268978,0.351532644034777,No effect
SIP4,TDH2,0.04439174762014712,-0.0122163407506367,0.95843677680226,0.984724655451332,No effect
SIP4,TDH3,0.3343237479373552,-0.261782645501579,0.828493724642796,0.367008277166458,No effect
SIP4,YHB1,0.11190280452579701,0.102639434790152,0.9217822573223307,0.857615991913683,No effect
