gene,protein,r1,r2,p1,p2,Class.pr
GEM1,ENO2,-0.29662241955220575,0.0437029849004844,0.8778964849175108,0.478525877800823,No effect
GEM1,FAS1,-0.4729731639634641,-0.124122916908767,0.8508498332296254,0.0670724767869292,No effect
GEM1,FAS2,0.2844600821385284,-0.0331991192670529,0.9835550970677007,0.344013668277043,No effect
GEM1,RNR2,0.5153242321253166,-0.156782618568734,0.8360482126622801,0.129306334620295,No effect
GEM1,SSA1,-1.0379205445111834,0.673601910972515,0.15734286070865333,0.0648591402079646,No effect
GEM1,TDH1,0.5484812735338881,0.619313132528653,0.5345960831144634,0.0213585045875444,Study 2 only
GEM1,TDH2,0.10481191412873134,-0.326101742374149,0.932346260433988,0.345732442227455,No effect
GEM1,TDH3,0.33883013901100095,0.00573318072461859,0.8465973054398374,0.960188388958632,No effect
GEM1,YHB1,-0.2729990765633502,-0.104723414164816,0.8036445070081235,0.307722921194815,No effect
MDM10,ENO2,-0.01722288510388796,-0.093756524446178,0.9395758353957084,0.202362819053064,No effect
MDM10,FAS1,-0.2592441963546428,-0.140055012671226,0.7470584171231154,0.00640029118730637,No effect
MDM10,FAS2,-0.3342370718616765,-0.0700333889683407,0.8886057365276746,0.113554418844449,No effect
MDM10,RNR2,-0.08987546371593803,0.0511080450786245,0.899374302359306,0.768645950504461,No effect
MDM10,RPL9A,0.14001993092662163,-0.627360017348401,0.5774838457291541,0.00237215977660165,Study 2 only
MDM10,SSA1,0.29425888967881036,0.826823650392463,0.6507052105010495,0.00295110775756314,Study 2 only
MDM10,TDH1,0.2726454910988428,2.35525041345134,0.662913455850999,1.86868388992991e-5,Study 2 only
MDM10,TDH2,-0.012444936374971035,0.0485836068355425,0.9617645789110248,0.810204376033218,No effect
MDM10,TDH3,-0.18050711027494643,0.0775500892433456,0.9010919300405122,0.410548308512151,No effect
MDM10,YHB1,-0.09996419148025623,-1.42863303619341,0.9217822573223307,1.14604041938702e-4,Study 2 only
ACO2,ENO2,-0.6454947508031079,-0.0439062847820324,0.4762686388275749,0.681358294062665,No effect
ACO2,FAS1,0.46740681524657435,-0.00715565255165629,0.7850146038184478,0.897011689979465,No effect
ACO2,FAS2,0.19812986200609672,-0.102451830980865,0.9835550970677007,0.561396448800963,No effect
ACO2,RNR2,0.7804488570203434,0.0692034943963726,0.5727673794211401,0.611391070878836,No effect
ACO2,RPL9A,0.49181177857902997,-0.188326881522187,0.3523561110961731,0.230174698559955,No effect
ACO2,SSA1,-0.28523694765376595,0.263516250496242,0.8511610768673987,0.377187667307788,No effect
ACO2,TDH1,0.17717413077730002,-0.0233013291566273,0.8535807241966793,0.902278053523247,No effect
