gene,protein,r1,r2,p1,p2,Class.pr
ASH1,FAS2,0.0067217029,-0.349925284389377,0.970281,0.111105166911612,No effect
ASH1,HTB2,0.12612707,-0.211991940906738,0.101998,0.60760197938792,No effect
ASH1,RNR2,-0.14584952,-0.078000091558467,0.0535839,0.73271885695198,No effect
ASH1,SSA1,-0.01326288,-0.0425775996594746,0.974995,0.929907253206773,No effect
ASH1,TDH1,-0.10575264,-0.0065411875860272,0.680514,0.989191993256795,No effect
ASH1,TDH2,-0.12233427,-6.72322753643012e-4,0.661708,0.999174120090068,No effect
ASH1,TDH3,-0.33235307,0.232631883258347,0.0914463,0.448596635071117,No effect
ASH1,YHB1,0.29756708,-0.0979001174713055,0.0517576,0.866090624964407,No effect
STB6,ENO2,-0.22847102,-0.125105979980856,0.911297,0.663206795278918,No effect
STB6,FAS1,0.20648069,-0.136465478895231,0.42694,0.765496304335731,No effect
STB6,FAS2,0.080616735,-0.00698007865909205,0.960724,0.989349898106263,No effect
STB6,HTB2,-0.065448776,-0.0300872984032964,0.991105,0.963122228223058,No effect
STB6,RNR2,0.052596741,0.13931536119201,0.991762,0.441459845992197,No effect
STB6,SSA1,-0.43343615,-0.184691607263471,0.415181,0.562299704657476,No effect
STB6,TDH1,-0.13078555,-0.211285891829475,0.991762,0.388871050932097,No effect
STB6,TDH2,-0.28298102,-0.193839361524056,0.855305,0.619531659568207,No effect
STB6,TDH3,-0.073947431,0.182299366979163,0.991762,0.593067452079408,No effect
STB6,YHB1,-0.041264209,-0.103238537584849,0.992546,0.857102191600534,No effect
MSN4,ENO2,0.23078096,-0.285721116211983,0.612138,0.153311652098848,No effect
MSN4,FAS1,0.054917919,-0.148193734542714,0.799809,0.738998278312076,No effect
MSN4,FAS2,0.11580567,-0.115210726404721,0.403786,0.742623572927464,No effect
MSN4,HTB2,0.086172325,-0.184458756921945,0.694656,0.672061990334778,No effect
MSN4,RNR2,-0.010140189,-0.0567180291227121,0.970884,0.822929015373325,No effect
MSN4,SSA1,0.07506706,-0.0165955348235271,0.920848,0.97521793719123,No effect
MSN4,TDH1,0.088630103,-0.146564227291072,0.920506,0.609944698306905,No effect
MSN4,TDH2,0.36841077,-0.213598624903027,0.373609,0.569048709390374,No effect
MSN4,TDH3,0.095937919,0.209885242579235,0.91102,0.513390120909233,No effect
MSN4,YHB1,0.12332187,-0.116553869783778,0.662695,0.83373006119292,No effect
PHD1,ENO2,-0.34058687,-0.069281295177552,0.563661,0.887290208804461,No effect
PHD1,FAS1,0.18705826,-0.245373478116306,0.434821,0.190945325453844,No effect
PHD1,FAS2,0.071954833,-0.236822610788935,0.876751,0.419011294727357,No effect
PHD1,HTB2,0.039222636,-0.292369027301001,0.959961,0.0789486883513286,No effect
PHD1,RNR2,0.036988546,0.0173689261539673,0.959961,0.971645073194279,No effect
PHD1,SSA1,-0.19386735,0.0262966972696708,0.831844,0.96965876154501,No effect
PHD1,TDH1,-0.078233121,0.0466041305444987,0.967855,0.9468600998481,No effect
PHD1,TDH2,-0.083167216,-0.295661249317151,0.967855,0.191765705616433,No effect
PHD1,TDH3,0.043694461,-0.248474023723394,0.984296,0.161143275563475,No effect
PHD1,YHB1,-0.40332624,-0.269334113673221,0.325874,0.22645907460845,No effect
RGT1,ENO2,0.22400322,-0.125408672012175,0.642683,0.764190579902216,No effect
RGT1,FAS1,0.071391996,-0.421157189252226,0.728797,0.0124289399023655,No effect
