eHS.ID,eHS.name,eHS.genes,eHS.targetn,eHS.strVar,eHS.medVar,eHS.BE.sig.prots,eHS.BE.sig.n,Max_FDR0.05_count,Candidates,ImpactVarInCand,Cat,Label,PlotLabel,eHS.sig.prots
90,NA,KTR1;CRC1;RAS1;YOR102W;OST2;PIN2;YOR105W;VAM3;RGS2;LEU9;YOR108C-A;INP53;TFC7;YOR111W;CEX1,1222,RGS2,KTR1;CRC1;RAS1;OST2;PIN2;VAM3;RGS2;LEU9;INP53;TFC7;CEX1,YHB1,1,1,NA,0,NA,NA,NA,TDH1
91,NA,SFL1;ARP8;LSC1,611,NA,SFL1;ARP8;LSC1,RPL9A;TDH1,2,2,NA,0,NA,NA,NA,TDH1
92,NA,GEP3;NOC2,436,NA,GEP3,NA,0,NA,NA,0,NA,NA,NA,TDH1
93,NA,SNR31;HEM4;RFM1;FSH3;PLP2;YOR282W;YOR283W;HUA2;RDL1,360,NA,HEM4;RFM1;FSH3;PLP2;HUA2,NA,0,NA,NA,0,NA,NA,NA,NA
94,NA,TEA1;YOR338W,219,NA,TEA1,NA,0,NA,NA,0,NA,NA,NA,NA
95,NA,YOR385W;PHR1;YOR387C,50,NA,PHR1,NA,0,NA,NA,0,NA,NA,NA,NA
96,NA,PBI1;ATP15;MDL2,49,NA,PBI1,NA,0,NA,NA,0,NA,NA,NA,NA
97,NA,GAL4;YPL247C;RBD2;YPL245W;HUT1;SRP68,195,NA,GAL4;RBD2;SRP68,NA,0,NA,NA,0,NA,NA,NA,YHB1
98,NA,TCO89;PPQ1,344,NA,TCO89;PPQ1,FAS1;FAS2;RPL9A;SSA1,4,3,PPQ1,1,New,PPQ1,PPQ1,TDH1;YHB1
99,NA,GLR1;RPS6A;RLM1;YPL088W;YDC1,213,NA,GLR1;RLM1,NA,0,NA,NA,0,NA,NA,NA,HTB2;YHB1
100,NA,MNN9;DIG1;CAM1;SGF11,324,NA,DIG1;SGF11,RPL9A,1,1,NA,0,NA,NA,NA,HTB2;YHB1
101,NA,RMI1;MET12;RAD1;ECM23;ULP1;VTC3;CTF19;IRC15;SWI1,515,NA,MET12;RAD1;ECM23;ULP1;VTC3;CTF19;SWI1,ENO2;YHB1,2,1,NA,0,NA,NA,NA,RNR2;TDH2;YHB1
102,NA,YPR136C;RRP9;YPR137C-B;YPR137C-A;tN(GUU)P;MEP3;LOA1;TAZ1,44,NA,RRP9,NA,0,NA,NA,0,NA,NA,NA,NA
