category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Component	GO.0005739	145	677	4932	YAL039C,YAL044C,YBL015W,YBL016W,YBL030C,YBL045C,YBL059C-A,YBL064C,YBL099W,YBR006W,YBR026C,YBR039W,YBR056W,YBR072W,YBR111C,YBR120C,YBR146W,YBR170C,YBR230C,YCL017C,YCL057C-A,YCL064C,YCR004C,YDL003W,YDL022W,YDL067C,YDL086W,YDL181W,YDL215C,YDR019C,YDR032C,YDR046C,YDR074W,YDR148C,YDR194C,YDR268W,YDR322C-A,YDR347W,YDR379C-A,YDR405W,YDR529C,YEL037C,YEL039C,YER069W,YER125W,YER164W,YFR011C,YFR024C-A,YFR049W,YFR053C,YGL018C,YGL125W,YGL187C,YGL211W,YGL228W,YGR008C,YGR086C,YGR088W,YGR132C,YGR165W,YGR207C,YGR215W,YGR244C,YHL021C,YHR001W-A,YHR024C,YHR037W,YHR051W,YHR076W,YHR086W,YHR116W,YHR198C,YIL043C,YIL070C,YIL105C,YIL111W,YIL125W,YIL136W,YIL149C,YIR038C,YJL133C-A,YJR019C,YJR073C,YJR077C,YJR085C,YJR121W,YJR144W,YKL016C,YKL053C-A,YKL085W,YKL137W,YKL148C,YKL150W,YKL195W,YKR006C,YKR016W,YKR042W,YKR049C,YLL001W,YLR038C,YLR069C,YLR163C,YLR270W,YLR295C,YLR335W,YML030W,YML110C,YML128C,YMR031C,YMR145C,YMR152W,YMR188C,YMR189W,YMR302C,YNL055C,YNL071W,YNL098C,YNL130C,YNL185C,YNL200C,YNL274C,YNL284C,YNL306W,YNR001C,YNR037C,YOL071W,YOL077W-A,YOL096C,YOR125C,YOR142W,YOR158W,YOR176W,YOR215C,YOR317W,YOR347C,YOR356W,YOR374W,YPL004C,YPL096W,YPL098C,YPL154C,YPL196W,YPL271W,YPR004C,YPR191W	CYC3,GCV3,ACH1,FUS3,PET9,COR1,CMC2,PRX1,ATP1,UGA2,ETR1,ATP3,YBR056W,HSP26,YSA1,CBP6,MRPS9,NPL4,OM14,NFS1,MIC10,CHA1,YCP4,MCD1,GPD1,COX9,YDL086W,INH1,GDH2,GCV1,PST2,BAP3,TPS2,KGD2,MSS116,MSW1,TIM11,MRP1,SDH6,MRP20,QCR7,RAD23,CYC7,ARG5,6,RSP5,CHD1,MIC19,LSB3,YMR31,HXK1,JAC1,MET13,COX4,NCS6,SHE10,STF2,PIL1,CTT1,PHB1,MRPS35,CIR1,RSM27,LSC2,AIM17,QCR10,MAS2,PUT2,COX6,PTC7,NAM8,COX23,AIM18,CBR1,MAM33,SLM1,COX5B,KGD1,OM45,MLP2,GTT1,YJL133C-A,TES1,OPI3,MIR1,YJR085C,ATP2,MGM101,ATP7,MDM35,MDH1,CMC1,SDH1,MCR1,MIA40,MRPL13,MIC60,UTH1,FMP46,DNM1,COX12,MEF1,MAS1,DCS1,ATP14,NUP2,RCF1,COQ5,MSC1,EIS1,NDE1,YIM1,MRPS17,GCV2,YME2,POR1,LAT1,RAS2,CPT1,MRPL19,NNR1,GOR1,MRPL10,MRPS18,CIT1,RSM19,SDH5,ATP19,COQ3,CAT5,LSC1,PET123,HEM15,AIM41,FAA1,PYK2,CIR2,ALD4,LSP1,PNG1,MGR2,PEP4,OXR1,ATP15,AIM45,QCR2	3.97e-5	0.0204	mitochondrion
Component	GO.0098800	24	58	4932	YBL045C,YBL099W,YBR039W,YCL057C-A,YDL067C,YDR322C-A,YDR529C,YFR011C,YGL187C,YHR001W-A,YHR051W,YIL111W,YJR121W,YKL016C,YKL148C,YKR016W,YLR038C,YLR163C,YLR295C,YML030W,YOL077W-A,YPL098C,YPL271W,YPR191W	COR1,ATP1,ATP3,MIC10,COX9,TIM11,QCR7,MIC19,COX4,QCR10,COX6,COX5B,ATP2,ATP7,SDH1,MIC60,COX12,MAS1,ATP14,RCF1,ATP19,MGR2,ATP15,QCR2	1.1e-4	0.0278	inner mitochondrial membrane protein complex
Component	GO.0098798	44	151	4932	YBL045C,YBL099W,YBR039W,YBR120C,YBR146W,YBR170C,YCL057C-A,YDL067C,YDR148C,YDR322C-A,YDR347W,YDR405W,YDR529C,YFR011C,YFR049W,YGL187C,YGR165W,YGR215W,YHR001W-A,YHR024C,YHR051W,YIL111W,YIL125W,YJR121W,YKL016C,YKL148C,YKR006C,YKR016W,YLR038C,YLR163C,YLR295C,YML030W,YMR188C,YNL071W,YNL185C,YNL284C,YNL306W,YNR037C,YOL077W-A,YOR158W,YOR356W,YPL098C,YPL271W,YPR191W	COR1,ATP1,ATP3,CBP6,MRPS9,NPL4,MIC10,COX9,KGD2,TIM11,MRP1,MRP20,QCR7,MIC19,YMR31,COX4,MRPS35,RSM27,QCR10,MAS2,COX6,COX5B,KGD1,ATP2,ATP7,SDH1,MRPL13,MIC60,COX12,MAS1,ATP14,RCF1,MRPS17,LAT1,MRPL19,MRPL10,MRPS18,RSM19,ATP19,PET123,CIR2,MGR2,ATP15,QCR2	2.1e-4	0.0366	mitochondrial protein complex
Component	GO.0019866	41	138	4932	YAL039C,YBL030C,YBL045C,YBL059C-A,YBL099W,YBR039W,YCL057C-A,YDL067C,YDR322C-A,YDR529C,YFR011C,YGL187C,YGR132C,YHR001W-A,YHR024C,YHR037W,YHR051W,YIL030C,YIL111W,YJR077C,YJR121W,YKL016C,YKL137W,YKL148C,YKL195W,YKR016W,YKR042W,YLR038C,YLR163C,YLR295C,YML030W,YML110C,YMR302C,YOL077W-A,YOL096C,YOR125C,YOR176W,YOR356W,YPL098C,YPL271W,YPR191W	CYC3,PET9,COR1,CMC2,ATP1,ATP3,MIC10,COX9,TIM11,QCR7,MIC19,COX4,PHB1,QCR10,MAS2,PUT2,COX6,SSM4,COX5B,MIR1,ATP2,ATP7,CMC1,SDH1,MIA40,MIC60,UTH1,COX12,MAS1,ATP14,RCF1,COQ5,YME2,ATP19,COQ3,CAT5,HEM15,CIR2,MGR2,ATP15,QCR2	2.5e-4	0.0366	organelle inner membrane
Component	GO.0005743	40	133	4932	YAL039C,YBL030C,YBL045C,YBL059C-A,YBL099W,YBR039W,YCL057C-A,YDL067C,YDR322C-A,YDR529C,YFR011C,YGL187C,YGR132C,YHR001W-A,YHR024C,YHR037W,YHR051W,YIL111W,YJR077C,YJR121W,YKL016C,YKL137W,YKL148C,YKL195W,YKR016W,YKR042W,YLR038C,YLR163C,YLR295C,YML030W,YML110C,YMR302C,YOL077W-A,YOL096C,YOR125C,YOR176W,YOR356W,YPL098C,YPL271W,YPR191W	CYC3,PET9,COR1,CMC2,ATP1,ATP3,MIC10,COX9,TIM11,QCR7,MIC19,COX4,PHB1,QCR10,MAS2,PUT2,COX6,COX5B,MIR1,ATP2,ATP7,CMC1,SDH1,MIA40,MIC60,UTH1,COX12,MAS1,ATP14,RCF1,COQ5,YME2,ATP19,COQ3,CAT5,HEM15,CIR2,MGR2,ATP15,QCR2	2.4e-4	0.0366	mitochondrial inner membrane
Keyword	KW-0496	110	466	4932	YAL039C,YAL044C,YBL030C,YBL045C,YBL059C-A,YBL064C,YBL099W,YBR026C,YBR039W,YBR056W,YBR120C,YBR146W,YBR230C,YCL017C,YCL057C-A,YCL064C,YCR004C,YDL067C,YDL181W,YDR019C,YDR148C,YDR194C,YDR268W,YDR322C-A,YDR347W,YDR379C-A,YDR405W,YDR529C,YEL039C,YER069W,YFR011C,YFR049W,YGL018C,YGL187C,YGL211W,YGL228W,YGR008C,YGR132C,YGR165W,YGR207C,YGR215W,YGR244C,YHL021C,YHR001W-A,YHR024C,YHR037W,YHR051W,YHR076W,YHR086W,YHR116W,YHR198C,YIL043C,YIL070C,YIL111W,YIL125W,YIL136W,YJL133C-A,YJR073C,YJR077C,YJR085C,YJR121W,YJR144W,YKL016C,YKL053C-A,YKL085W,YKL137W,YKL148C,YKL150W,YKL195W,YKL213C,YKR006C,YKR016W,YKR042W,YKR049C,YLL001W,YLR038C,YLR069C,YLR163C,YLR295C,YML030W,YML110C,YMR145C,YMR152W,YMR188C,YMR189W,YMR302C,YNL055C,YNL071W,YNL130C,YNL185C,YNL200C,YNL274C,YNL284C,YNL306W,YNR001C,YNR037C,YOL071W,YOL077W-A,YOL096C,YOR125C,YOR142W,YOR158W,YOR176W,YOR215C,YOR356W,YOR374W,YPL196W,YPL271W,YPR004C,YPR191W	CYC3,GCV3,PET9,COR1,CMC2,PRX1,ATP1,ETR1,ATP3,YBR056W,CBP6,MRPS9,OM14,NFS1,MIC10,CHA1,YCP4,COX9,INH1,GCV1,KGD2,MSS116,MSW1,TIM11,MRP1,SDH6,MRP20,QCR7,CYC7,ARG5,6,MIC19,YMR31,JAC1,COX4,NCS6,SHE10,STF2,PHB1,MRPS35,CIR1,RSM27,LSC2,AIM17,QCR10,MAS2,PUT2,COX6,PTC7,NAM8,COX23,AIM18,CBR1,MAM33,COX5B,KGD1,OM45,YJL133C-A,OPI3,MIR1,YJR085C,ATP2,MGM101,ATP7,MDM35,MDH1,CMC1,SDH1,MCR1,MIA40,DOA1,MRPL13,MIC60,UTH1,FMP46,DNM1,COX12,MEF1,MAS1,ATP14,RCF1,COQ5,NDE1,YIM1,MRPS17,GCV2,YME2,POR1,LAT1,CPT1,MRPL19,NNR1,GOR1,MRPL10,MRPS18,CIT1,RSM19,SDH5,ATP19,COQ3,CAT5,LSC1,PET123,HEM15,AIM41,CIR2,ALD4,OXR1,ATP15,AIM45,QCR2	1.47e-5	0.0035	Mitochondrion
Keyword	KW-0809	60	237	4932	YAL044C,YBL045C,YBL064C,YBL099W,YBR026C,YBR039W,YBR146W,YCL017C,YDL181W,YDR019C,YDR148C,YDR194C,YDR347W,YDR405W,YER069W,YFR049W,YGL018C,YGL187C,YGR165W,YGR244C,YHL021C,YHR024C,YHR037W,YHR051W,YHR076W,YHR116W,YHR198C,YIL070C,YIL111W,YIL125W,YJR121W,YJR144W,YKL085W,YKL148C,YKL195W,YKR006C,YKR016W,YKR049C,YLR069C,YLR163C,YLR295C,YML110C,YMR145C,YMR189W,YMR302C,YNL071W,YNL185C,YNL284C,YNL306W,YNR001C,YOL071W,YOL096C,YOR125C,YOR142W,YOR176W,YOR215C,YOR356W,YOR374W,YPR004C,YPR191W	GCV3,COR1,PRX1,ATP1,ETR1,ATP3,MRPS9,NFS1,INH1,GCV1,KGD2,MSS116,MRP1,MRP20,ARG5,6,YMR31,JAC1,COX4,MRPS35,LSC2,AIM17,MAS2,PUT2,COX6,PTC7,COX23,AIM18,MAM33,COX5B,KGD1,ATP2,MGM101,MDH1,SDH1,MIA40,MRPL13,MIC60,FMP46,MEF1,MAS1,ATP14,COQ5,NDE1,GCV2,YME2,LAT1,MRPL19,MRPL10,MRPS18,CIT1,SDH5,COQ3,CAT5,LSC1,HEM15,AIM41,CIR2,ALD4,AIM45,QCR2	4.1e-4	0.049	Transit peptide
Keyword	KW-0999	34	112	4932	YAL039C,YBL030C,YBL045C,YBL059C-A,YBL099W,YBR039W,YCL057C-A,YDL067C,YDR322C-A,YDR529C,YFR011C,YGL187C,YGR132C,YHR001W-A,YHR037W,YHR051W,YIL111W,YJR077C,YJR121W,YKL016C,YKL137W,YKL148C,YKL195W,YKR016W,YLR295C,YML110C,YMR302C,YOL077W-A,YOL096C,YOR125C,YOR176W,YOR356W,YPL271W,YPR191W	CYC3,PET9,COR1,CMC2,ATP1,ATP3,MIC10,COX9,TIM11,QCR7,MIC19,COX4,PHB1,QCR10,PUT2,COX6,COX5B,MIR1,ATP2,ATP7,CMC1,SDH1,MIA40,MIC60,ATP14,COQ5,YME2,ATP19,COQ3,CAT5,HEM15,CIR2,ATP15,QCR2	6.2e-4	0.0496	Mitochondrion inner membrane
