category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Component	GO.0098798	49	151	4932	YBL045C,YBL099W,YBR039W,YBR268W,YCR046C,YDL004W,YDL067C,YDR116C,YDR148C,YDR298C,YDR322C-A,YDR347W,YDR405W,YDR529C,YFR011C,YFR049W,YGL068W,YGL187C,YGL191W,YGR215W,YHR024C,YIL111W,YIL125W,YJR113C,YJR121W,YKL016C,YKL148C,YKL155C,YKL170W,YKR006C,YKR085C,YLL041C,YLR038C,YLR163C,YLR439W,YML030W,YMR089C,YMR158W,YMR188C,YNL052W,YNL185C,YNL284C,YNL306W,YNR037C,YOR045W,YOR356W,YPL078C,YPL271W,YPR100W	COR1,ATP1,ATP3,MRPL37,IMG1,ATP16,COX9,MRPL1,KGD2,ATP5,TIM11,MRP1,MRP20,QCR7,MIC19,YMR31,MNP1,COX4,COX13,RSM27,MAS2,COX5B,KGD1,RSM7,ATP2,ATP7,SDH1,RSM22,MRPL38,MRPL13,MRPL20,SDH2,COX12,MAS1,MRPL4,RCF1,YTA12,MRPS8,MRPS17,COX5A,MRPL19,MRPL10,MRPS18,RSM19,TOM6,CIR2,ATP4,ATP15,MRPL51	5.88e-7	3e-4	mitochondrial protein complex
Component	GO.0098800	23	58	4932	YBL045C,YBL099W,YBR039W,YDL004W,YDL067C,YDR298C,YDR322C-A,YDR529C,YFR011C,YGL187C,YGL191W,YIL111W,YJR121W,YKL016C,YKL148C,YLL041C,YLR038C,YLR163C,YML030W,YMR089C,YNL052W,YPL078C,YPL271W	COR1,ATP1,ATP3,ATP16,COX9,ATP5,TIM11,QCR7,MIC19,COX4,COX13,COX5B,ATP2,ATP7,SDH1,SDH2,COX12,MAS1,RCF1,YTA12,COX5A,ATP4,ATP15	6.11e-5	0.0154	inner mitochondrial membrane protein complex
Keyword	KW-0809	58	237	4932	YBL045C,YBL099W,YBR026C,YBR039W,YBR268W,YCR046C,YDL004W,YDL174C,YDL181W,YDR019C,YDR070C,YDR116C,YDR148C,YDR204W,YDR231C,YDR298C,YDR347W,YDR405W,YFR049W,YGL068W,YGL187C,YGL191W,YGR244C,YHR008C,YHR024C,YHR076W,YHR116W,YIL111W,YIL125W,YJR113C,YJR121W,YKL085W,YKL148C,YKL155C,YKR006C,YKR085C,YLL041C,YLR163C,YLR439W,YML110C,YML120C,YMR002W,YMR145C,YMR189W,YNL052W,YNL185C,YNL284C,YNL306W,YNR001C,YOL071W,YOR142W,YOR176W,YOR215C,YOR286W,YOR356W,YOR374W,YPL078C,YPL135W	COR1,ATP1,ETR1,ATP3,MRPL37,IMG1,ATP16,DLD1,INH1,GCV1,FMP16,MRPL1,KGD2,COQ4,COX20,ATP5,MRP1,MRP20,YMR31,MNP1,COX4,COX13,LSC2,SOD2,MAS2,PTC7,COX23,COX5B,KGD1,RSM7,ATP2,MDH1,SDH1,RSM22,MRPL13,MRPL20,SDH2,MAS1,MRPL4,COQ5,NDI1,MIX17,NDE1,GCV2,COX5A,MRPL19,MRPL10,MRPS18,CIT1,SDH5,LSC1,HEM15,AIM41,RDL2,CIR2,ALD4,ATP4,ISU1	8.93e-5	0.0203	Transit peptide
