ORF,Name,YEPD_mean,YEPD_error,YEPD_cv,YEPD_dm,YEPD_note,SD_mean,SD_error,SD_cv,SD_dm,SD_note
YAL001C,TFC3,,,,,Abundance Low,,,,,Failed QC/Abundance Low
YAL002W,VPS8,,,,,Abundance Low,,,,,Abundance Low
YAL005C,SSA1,32395,1125.661664,25.1,13.09660276,,27461.5,1076.069765,21.07,9.466912107,
YAL007C,ERP2,671.5,35.22171751,18.03,2.057104542,,410.5,30.45111396,16.905,2.516366126,
YAL008W,FUN14,,,,,Abundance Low,,,,,Abundance Low
YAL009W,SPO7,,,,,Abundance Low,,,,,Abundance Low
YAL010C,MDM10,,,,,Abundance Low,,,,,Abundance Low
YAL011W,SWC3,,,,,Abundance Low,,,,,Abundance Low
YAL012W,CYS3,1838,72.57954161,13.225,-0.855090061,,1232.5,60.7059841,10.57,-2.378292468,
YAL014C,SYN8,,,,,Abundance Low,,,,,Abundance Low
YAL015C,NTG1,,,,,Abundance Low,,,,,Abundance Low
YAL016W,TPD3,772.5,38.56398272,13.135,-2.477835722,,740.5,42.38971765,11.895,-1.598934895,
YAL017W,PSK1,,,,,Abundance Low,52.5,22.51331516,,,
YAL019W,FUN30,86.5,21.90456121,24.555,0.022151202,,62,22.68524888,,,
YAL021C,CCR4,312,26.19671381,16.6,-1.433473409,,,,,,Failed QC
YAL023C,PMT2,68.5,21.47866298,24.06,-2.749986479,,58.9174475,21.92160449,17.67,-0.268537499,
YAL024C,LTE1,,,,,Abundance Low,,,,,Abundance Low
YAL026C,DRS2,214.5,24.12862081,19.07,-0.44233817,,113.3188353,23.10462398,17.115,0.280294842,
YAL027W,,,,,,Abundance Low,,,,,Abundance Low
YAL029C,MYO4,112,22.30818861,22.285,-0.480342207,,118,24.37999805,17.425,0.567598176,
YAL031C,FUN21,,,,,Abundance Low,58.5,22.57285775,,,
YAL032C,PRP45,47,21.35693974,,,,,,,,Abundance Low
YAL033W,POP5,295.5,25.8790104,19.04,0.810259418,,302.8396515,27.45751725,13.445,-1.115601157,
YAL034W-A,MTW1,90,21.97345196,,,,,,,,Abundance Low
YAL035W,FUN12,2539,96.0943459,12.715,-0.929849309,,1874,84.63827497,11.475,-1.161741622,
YAL036C,RBG1,823.5,40.06916907,14.055,-1.331371589,,414.5,32.22188582,14.385,0.208149835,
YAL038W,CDC19,11386.5,399.8770764,16.27,3.835239737,,9188,365.8890134,,,
YAL039C,CYC3,49.5,21.23395775,,,,,,,,Abundance Low
YAL041W,CDC24,114.5,22.33619244,20.91,-1.727680745,,131,24.09026928,16.17,-0.156773699,
YAL043C,PTA1,99,22.10444675,19.975,-3.115298237,,84,23.06112256,21.115,2.532874589,
YAL044C,GCV3,495.5,30.74184259,27.82,11.02472183,,2739.626551,115.9658264,13.225,0.879440838,
YAL047C,SPC72,,,,,Abundance Low,,,,,Failed QC/Abundance Low
YAL049C,,,,,,Abundance Low,,,,,Abundance Low
YAL053W,,,,,,Abundance Low,62.254211,21.94646473,16.93,-0.876996608,
YAL054C,ACS1,,,,,Abundance Low,,,,,Abundance Low
YAL055W,PEX22,,,,,Abundance Low,,,,,Abundance Low
YAL056W,GPB2,,,,,Abundance Low,,,,,Abundance Low
YAL058W,CNE1,,,,,Abundance Low,,,,,Abundance Low
YAL059W,ECM1,200.5,23.61849929,21.72,1.698034228,,81,22.30995496,,,
YAL060W,BDH1,536.5,31.8492136,26.25,9.758105906,,1372,65.84919554,19.145,6.285862092,
YAL061W,,47.5,21.36846873,,,,129,24.31387499,24.335,7.566768946,
YAR002C-A,ERP1,1049,46.5786686,12.49,-2.549796313,,538.5,34.41152978,13.195,-0.756259492,
YAR002W,NUP60,174,23.13244204,21.305,0.607849056,,140.5,23.45453518,17.43,-0.287645552,
YAR003W,SWD1,,,,,Abundance Low,,,,,Abundance Low
YAR007C,RFA1,,,,,Failed QC,375.5,30.3316823,,,
YAR009C,,57.5,21.49597398,,,,,,,,Abundance Low
YAR014C,BUD14,185,23.56222016,20.895,0.444493805,,146,24.40826797,16.965,0.487671358,
YAR015W,ADE1,1013,45.91329607,19.56,4.49256294,,2335,102.6473143,11.405,-1.091983748,
YAR019C,CDC15,,,,,Abundance Low,,,,,Abundance Low
YAR027W,UIP3,,,,,Abundance Low,,,,,Abundance Low
YAR028W,,129.5,22.38920879,22.825,0.310794883,,,,,,Abundance Low
YAR044W,,121,22.44426283,21.45,-0.851793252,,133.5,24.1766642,16.545,0.113333333,
YAR071W,PHO11,55,21.46473754,,,,,,,,Abundance Low
YBL001C,ECM15,,,,,Abundance Low,,,,,Abundance Low
YBL002W,HTB2,6460,230.9217125,11.19,-1.628819335,,5540.253801,226.1572694,10.795,-1.226779155,
YBL003C,HTA2,4086,148.4545051,13.94,0.735943258,,4040.540111,167.855617,,,
YBL004W,UTP20,269,25.24983459,19.41,0.763835953,,103.3324775,22.75865515,17.405,0.752721855,
YBL005W,PDR3,,,,,Abundance Low,,,,,Abundance Low
YBL007C,SLA1,585,33.14048273,19.465,3.232960735,,665,39.99989887,12.68,-0.914718667,
YBL008W,HIR1,,,,,Abundance Low,,,,,Abundance Low
YBL010C,,,,,,Abundance Low,,,,,Abundance Low
YBL011W,SCT1,193.5,23.49295568,19.85,-0.312006513,,128.8291258,23.26129134,15.255,-0.933498163,
YBL013W,FMT1,,,,,Abundance Low,,,,,Abundance Low
YBL014C,RRN6,,,,,Abundance Low,,,,,Abundance Low
YBL015W,ACH1,47.5,21.36423147,,,,205,26.04054631,25.685,10.12527222,
YBL016W,FUS3,367.5,27.491216,16.14,-1.307102295,,216.5,26.49657387,16.88,1.545389941,
YBL017C,PEP1,305.5,26.05000451,17.21,-1.002721847,,219.4619613,25.27021864,15.7,0.585124323,
YBL018C,POP8,,,,,Abundance Low,,,,,Abundance Low
YBL019W,APN2,,,,,Abundance Low,,,,,Abundance Low
YBL021C,HAP3,54,21.45002556,,,,88.6079685,22.46401553,,,
YBL022C,PIM1,91,21.97168997,24.61,0.234214525,,143.2508593,23.73738776,17.2,1.23024868,
YBL023C,MCM2,145,22.84449496,23.25,1.81849353,,115,23.7659697,17.625,0.537232249,
YBL024W,NCL1,721,37.01337654,15.08,-0.635572938,,318,28.87053012,43.435,29.1106904,
YBL025W,RRN10,,,,,Abundance Low,,,,,Abundance Low
YBL026W,LSM2,273,25.33621205,21.045,2.728227666,,296.5845063,27.37940188,15.745,1.09098103,
YBL027W,RPL19B,4134.5,150.4197578,10.485,-2.655886218,,3397,143.9642165,9,-3.271691703,
YBL028C,,660.5,34.93170587,15.255,-0.695551555,,360.3432385,28.89618446,13.855,-0.382410148,
YBL029C-A,,135.5,22.67978494,22.63,0.677676827,,156.7611498,23.85434617,16.12,0.348341813,
YBL029W,,,,,,Abundance Low,,,,,Abundance Low
YBL031W,SHE1,,,,,Abundance Low,,,,,Abundance Low
YBL032W,HEK2,713.5,36.84609916,14.595,-1.193840656,,539.5,36.13581235,12.305,-1.484769261,
YBL033C,RIB1,254,35.25842685,18.41,-0.456214253,,313,29.18271366,12.855,-1.736691367,
YBL034C,STU1,,,,,Failed QC,,,,,Abundance Low
YBL035C,POL12,58,21.50258147,,,,,,,,Abundance Low
YBL036C,,261.5,25.09035147,19.225,0.652401034,,190.5,25.79090366,16.385,0.891226137,
YBL037W,APL3,73.5,21.71941865,23.41,-2.408390089,,76,22.95519515,17.795,-0.73666347,
YBL038W,MRPL16,,,,,Abundance Low,95.5,23.59993862,15.88,-1.259980999,
YBL039C,URA7,1619.5,65.37868591,13.735,-0.530294409,,,,,,Failed QC
YBL040C,ERD2,1911,74.60867223,,,,815.5,43.6102615,13.845,0.424731641,
YBL042C,FUI1,532,31.35917091,22.225,5.418380285,,461,31.9077734,17.235,2.994114593,
YBL045C,COR1,297,25.58518103,21.115,2.707812158,,466,32.53667522,17.51,3.239078489,
YBL046W,,118.5,22.3996215,21.325,-1.23810778,,72.5,23.08683051,16.49,-1.410150148,
YBL047C,EDE1,955.5,44.06289917,17.96,2.776450958,,1017.5,52.39293584,12.58,-0.583535928,
YBL051C,PIN4,141.5,22.78244831,22.32,0.628264656,,112.5,23.72392235,17.34,0.277824354,
YBL052C,SAS3,,,,,Abundance Low,,,,,Abundance Low
YBL054W,,,,,,Abundance Low,,,,,Abundance Low
YBL055C,,51.5,21.42069642,,,,,,,,Abundance Low
YBL056W,PTC3,472,30.10387855,15.96,-0.832453794,,443.5,33.05552478,12.365,-1.715635489,
YBL057C,PTH2,,,,,Abundance Low,,,,,Abundance Low
YBL058W,SHP1,235,24.5439202,19.36,0.252574781,,252,27.39278732,14.175,-0.811627175,
YBL059C-A,,,,,,Abundance Low,,,,,Abundance Low
YBL059W,,,,,,Abundance Low,,,,,Abundance Low
YBL060W,,,,,,Abundance Low,,,,,Abundance Low
YBL061C,SKT5,184,23.32623673,21.04,0.602630807,,76.43108975,22.21747538,17.67,0.246205829,
YBL063W,KIP1,,,,,Abundance Low,,,,,Abundance Low
YBL064C,PRX1,203.5,23.67871999,25.51,5.430499034,,226.5,26.73538974,16.595,1.394952046,
YBL067C,UBP13,,,,,Abundance Low,,,,,Abundance Low
YBL068W,PRS4,267.5,25.21750848,16.935,-1.553458485,,137,24.55666379,16.235,-0.025277066,
YBL069W,AST1,53.5,21.44320744,,,,,,,,Abundance Low
YBL071W-A,KTI11,825.5,40.1177181,13.875,-1.551169085,,429.7003478,31.38884294,16.25,2.188365631,
YBL072C,RPS8A,6213,221.7286557,10.475,-2.341236046,,4550.089153,186.0630888,,,
YBL074C,AAR2,,,,,Abundance Low,,,,,Abundance Low
YBL075C,SSA3,,,,,Abundance Low,,,,,Abundance Low
YBL076C,ILS1,3489.5,128.3643927,13.02,-0.303168624,,3530,148.9680911,12.145,-0.100951524,
YBL079W,NUP170,160.5,23.11327728,,,,109.5603383,22.98823523,16.355,-0.217387737,
YBL080C,PET112,,,,,Abundance Low,,,,,Abundance Low
YBL082C,RHK1,,,,,Abundance Low,,,,,Abundance Low
YBL084C,CDC27,50.5,21.40684457,,,,,,,,Abundance Low
YBL085W,BOI1,77.5,21.77403254,23.84,-0.981928317,,50.5,22.5345532,,,
YBL086C,,,,,,Abundance Low,55,22.72848841,17.485,-1.228011393,
YBL087C,RPL23A,860.5,41.25100899,14.365,-0.918184604,,509.5,35.28277062,13.55,-0.398695652,
YBL090W,MRP21,,,,,Abundance Low,,,,,Abundance Low
YBL091C,MAP2,109,22.2479527,22.235,-0.855298237,,90.5,23.44518074,15.95,-1.428601403,
YBL093C,ROX3,46.5,21.35045456,,,,,,,,Abundance Low
YBL095W,,,,,,Abundance Low,,,,,Abundance Low
YBL097W,BRN1,,,,,Abundance Low,,,,,Abundance Low
YBL098W,BNA4,,,,,Abundance Low,,,,,Abundance Low
YBL099W,ATP1,1465.5,59.90252516,23.38,8.90819278,,3176.5,133.9842781,22.17,9.84974341,
YBL101C,ECM21,53.5,21.44220746,,,,91,23.21391051,17.845,0.127354448,
YBL102W,SFT2,120,22.2246086,26.435,2.800701407,,191.5,24.57469397,18.13,1.777600075,
YBL103C,RTG3,,,,,Abundance Low,,,,,Abundance Low
YBL104C,,71.5,21.68846282,23.985,-2.161244247,,53,22.50925469,,,
YBL105C,PKC1,123,22.47330304,22.365,0.04020191,,122,23.79344686,16.58,-0.347185889,
YBL107C,,,,,,Abundance Low,,,,,Abundance Low
YBL111C,,,,,,Abundance Low,173.5,24.96533143,15.78,-0.077983243,
YBR001C,NTH2,,,,,Abundance Low,,,,,Abundance Low
YBR002C,RER2,353.5,26.86809337,16.15,-1.722403834,,356.5,28.82267573,13.58,-1.233150055,
YBR003W,COQ1,89,21.95723629,27.74,3.364214525,,131,23.29743082,16.46,-1.440150148,
YBR005W,RCR1,55.5,21.46896883,,,,,,,,Abundance Low
YBR006W,UGA2,,,,,Abundance Low,,,,,Abundance Low
YBR007C,,,,,,Abundance Low,,,,,Abundance Low
YBR008C,FLR1,,,,,Abundance Low,,,,,Abundance Low
YBR009C,HHF1,2027,78.47103454,65.3,51.34260107,,2363.979838,101.5694495,,,
YBR010W,HHT1,,,,,Abundance Low,,,,,Abundance Low
YBR011C,IPP1,1221,52.41201459,21.815,7.111827008,,993,51.66670313,,,
YBR014C,,,,,,Abundance Low,,,18.435,0.095256087,Abundance Low
YBR015C,MNN2,129.5,22.37608959,22.83,0.038602247,,68.5,22.09964098,,,
YBR016W,,68.5,21.6612577,,,,81.44808375,22.34802288,16.87,-0.256796667,
YBR017C,KAP104,277,25.43019044,19.53,0.800965657,,158.5,24.71303528,17.22,1.151848071,
YBR023C,CHS3,201.5,23.88218742,,,,78.288199,22.3239625,18.455,0.969366349,
YBR025C,,2822,105.6789605,12.855,-0.671147473,,1875,85.10810314,12.425,-0.209465513,
YBR026C,ETR1,,,,,Abundance Low,,,,,Abundance Low
YBR028C,,187,23.60018354,19.25,-0.817902419,,186.5,25.43452481,15.62,0.01277226,
YBR030W,,,,,,Abundance Low,,,,,Failed QC/Abundance Low
YBR031W,RPL4A,,,,,Abundance Low,,,,,Abundance Low
YBR034C,HMT1,539,31.88185879,15.195,-1.233792987,,296.5,27.69197719,15.275,0.357547276,
YBR036C,CSG2,462,29.52321972,16.67,-0.22399797,,317,27.80263203,15.085,0.144916584,
YBR037C,SCO1,,,,,Abundance Low,71.5,22.08624591,,,
YBR039W,ATP3,939,43.36395822,29.05,13.95981504,,1613.5,72.59080654,23.5,10.77708693,
YBR041W,FAT1,,,,,Abundance Low,,,,,Abundance Low
YBR042C,,,,,,Abundance Low,,,,,Abundance Low
YBR043C,QDR3,,,,,Abundance Low,103.5,23.05674303,21.015,2.328725764,
YBR046C,ZTA1,106,22.20349342,25.94,2.67646935,,158,24.92769998,15.595,-0.244069921,
YBR047W,FMP23,,,,,Abundance Low,,,,,Abundance Low
YBR048W,RPS11B,,,,,Abundance Low,,,,,Abundance Low
YBR049C,REB1,510.5,31.11939068,16.435,-0.066443489,,466,33.43159654,14.6,0.495442948,
YBR052C,,379.5,27.77967977,19.715,2.251973031,,444,33.13339191,12.825,-1.235188489,
YBR054W,YRO2,431.5,28.75639532,39.35,22.21441206,,707.5,39.77383571,30.195,16.41899906,
YBR055C,PRP6,,,,,Abundance Low,,,,,Abundance Low
YBR056W,,,,,,Abundance Low,,,,,Abundance Low
YBR057C,MUM2,,,,,Abundance Low,,,,,Abundance Low
YBR058C,UBP14,,,,,Abundance Low,,,,,Abundance Low
YBR058C-A,TSC3,147,22.87583922,23.175,1.707516566,,176,24.26122265,18.01,1.378030663,
YBR059C,AKL1,155,23.01541561,21.24,0.148372899,,176.5,25.13295495,23.485,7.971255258,
YBR060C,ORC2,,,,,Abundance Low,,,,,Abundance Low
YBR061C,TRM7,111.5,22.28926379,24.365,1.946712581,,,,,,Abundance Low
YBR065C,ECM2,,,,,Abundance Low,,,,,Abundance Low
YBR066C,NRG2,,,,,Abundance Low,,,,,Abundance Low
YBR067C,TIP1,840,40.16502211,28.955,13.47059279,,614,38.63811829,27.91,14.11056639,
YBR068C,BAP2,2228,85.38304728,15.515,1.681516056,,2764.5,117.9787683,,,
YBR069C,TAT1,982.5,44.51277227,16.145,1.062139623,,674,39.56112979,16.665,2.950750918,
YBR070C,,142.5,22.60039949,,,,,,,,Abundance Low
YBR071W,,,,,,Abundance Low,,,,,Abundance Low
YBR072W,HSP26,65,21.42886982,,,,,,,,Failed QC
YBR073W,RDH54,57,21.48969707,,,,,,,,Abundance Low
YBR077C,,201.5,23.87415537,18.775,-1.017156515,,183.5435795,24.3373052,15.21,-0.142412795,
YBR079C,RPG1,2727,102.4395256,12.735,-0.840813328,,1756.5,80.68771042,12.68,-0.026186783,
YBR080C,SEC18,354,27.17733685,17.06,-0.662429094,,314.7070513,27.7074671,16.02,1.534592014,
YBR081C,SPT7,69,21.65843905,29.99,2.778128765,,60,22.62265498,,,
YBR082C,UBC4,1108.5,48.84568004,13.555,-1.347363892,,652.1668303,38.22837973,15.9,2.386640712,
YBR083W,TEC1,,,,,Abundance Low,,,,,Abundance Low
YBR084C-A,RPL19A,2554,96.61633911,12.85,-0.781745062,,1836.5,84.63884098,11.035,-1.607037009,
YBR084W,MIS1,235.5,24.55002276,22.545,3.388152701,,198.5,25.67320093,16.22,0.696163757,
YBR085C-A,,593,33.01843012,20.61,4.338766035,,888.9425565,47.32761106,21.165,7.954901018,
YBR085W,AAC3,,,,,Abundance Low,,,,,Abundance Low
YBR086C,IST2,146.5,22.87267548,22.6,1.426631091,,167.135253,24.27528942,15.62,-0.104452127,
YBR087W,RFC5,85.5,21.89036251,26.825,2.48761162,,,,,,Abundance Low
YBR088C,POL30,,,,,Failed QC,,,,,Failed QC
YBR089C-A,NHP6B,468.5,29.69279576,17.27,0.381958062,,495.8604678,33.01791756,14.255,0.439212012,
YBR090C,,797,39.27202596,16.745,1.192001558,,871.5,47.50207668,12.34,-0.891625287,
YBR092C,PHO3,88.5,21.93450606,33.045,9.143402802,,,,,,Abundance Low
YBR093C,PHO5,,,,,Abundance Low,,,,,Abundance Low
YBR094W,,53,21.43552578,,,,86.5,23.13692056,17.63,0.014909404,
YBR095C,RXT2,66.5,21.62190097,28.78,3.317899068,,,,,,Abundance Low
YBR096W,,,,,,Abundance Low,,,,,Abundance Low
YBR097W,VPS15,,,,,Abundance Low,,,,,Abundance Low
YBR100W,,,,,,Abundance Low,,,,,Abundance Low
YBR101C,FES1,824,40.06031605,14.715,-0.678310213,,362,30.55835481,14.28,-0.102619286,
YBR102C,EXO84,68,21.64044608,22.19,-4.619986479,,70,22.81746577,18.02,-0.693011393,
YBR103W,SIF2,,,,,Abundance Low,,,,,Abundance Low
YBR104W,YMC2,,,,,Abundance Low,,,,,Abundance Low
YBR105C,VID24,365.5,27.14624191,20.12,2.520659607,,415,30.68944527,16.67,2.277337162,
YBR106W,PHO88,2718.5,101.8479415,12.615,-0.995868302,,1599.77738,72.73970868,12.745,0.035554115,
YBR107C,IML3,,,,,Abundance Low,,,,,Abundance Low
YBR109C,CMD1,1795,71.16738431,,,,1613.043051,73.029772,,,
YBR110W,ALG1,148.5,22.90291494,24.625,3.418353943,,138,23.40051854,16.74,-0.841973018,
YBR111C,YSA1,,,,,Abundance Low,56.5,22.81161846,18.22,-0.336763935,
YBR112C,CYC8,,,,,Failed QC,210.5,26.01998931,15.405,-0.108744742,
YBR114W,RAD16,,,,,Abundance Low,,,,,Abundance Low
YBR115C,LYS2,680,35.90026722,20.78,4.941275899,,3690.5,154.74577,14.8,2.573902223,
YBR117C,TKL2,,,,,Abundance Low,,,,,Abundance Low
YBR118W,TEF2,30699.5,1066.330974,11.255,-0.748001112,,24026,960.6816317,8.73,-2.899044604,
YBR119W,MUD1,,,,,Abundance Low,,,,,Abundance Low
YBR120C,CBP6,207,23.98046112,19.61,-0.038715564,,221.7680885,25.32529099,15.395,0.360027249,
YBR121C,GRS1,2608,98.41128807,13.615,-0.043397875,,2160,94.99828758,12.1,-0.440884306,
YBR122C,MRPL36,167,23.23955205,21.355,0.571073002,,229.812367,25.44041464,14.195,-0.778150055,
YBR123C,TFC1,52,21.42557582,,,,51,22.43757877,,,
YBR125C,PTC4,,,,,Abundance Low,,,,,Abundance Low
YBR126C,TPS1,1279,54.27449199,21.27,6.579340571,,2145.5,95.18754977,16.435,3.879845969,
YBR127C,VMA2,1868,73.19504078,11.925,-2.144053468,,1179,56.5701065,12.255,-0.808696727,
YBR129C,OPY1,,,,,Abundance Low,,,,,Abundance Low
YBR130C,SHE3,165,23.19350105,19.03,-1.739296583,,163,25.10359622,14.355,-1.548037805,
YBR131W,CCZ1,,,,,Abundance Low,,,,,Abundance Low
YBR132C,AGP2,167.5,23.01603671,24.425,3.099166667,,243,25.94045122,16.935,1.175282962,
YBR133C,HSL7,,,,,Abundance Low,,,,,Abundance Low
YBR135W,CKS1,,,,,Failed QC,226.587858,25.38114671,14.505,-0.491831353,
YBR137W,,,,,,Abundance Low,72.237217,22.12518418,16.735,-0.735,
YBR138C,,,,,,Abundance Low,,,,,Abundance Low
YBR139W,,,,,,Abundance Low,,,,,Abundance Low
YBR140C,IRA1,53,21.27387819,,,,97.7814955,22.57215009,16.68,0.117351792,
YBR141C,,,,,,Abundance Low,,,,,Abundance Low
YBR142W,MAK5,180.5,23.47666055,19.155,-0.959576027,,101,23.45122774,17.315,-0.004857454,
YBR143C,SUP45,3019.5,112.4198103,11.13,-2.378180802,,2158.5,96.26086316,9.945,-2.592213074,
YBR145W,ADH5,,,,,Abundance Low,,,,,Abundance Low
YBR149W,ARA1,100.5,22.12124112,33.41,9.473750054,,243,27.2633377,32.71,17.50192762,
YBR150C,TBS1,,,,,Abundance Low,,,,,Abundance Low
YBR151W,APD1,166,23.21629424,25.465,4.681073002,,152,24.82964519,15.11,-1.009712603,
YBR152W,SPP381,100,22.10792249,24.36,0.627476422,,69.5,23.01743742,16.7,-1.337487281,
YBR155W,CNS1,273.5,25.34783448,18.735,0.188606189,,178.5,25.4760698,15.3,-0.384334816,
YBR156C,SLI15,,,,,Abundance Low,,,,,Abundance Low
YBR158W,AMN1,,,,,Abundance Low,,,,,Abundance Low
YBR159W,,669.5,35.16600345,14.005,-1.957542606,,461.5,31.9512831,13.05,-1.182219823,
YBR160W,CDC28,542,31.96529645,14.755,-1.74166216,,343,29.98490368,13.605,-0.889251076,
YBR161W,CSH1,,,,,Failed QC/Abundance Low,,,,,Abundance Low
YBR162C,TOS1,423.5,28.86409662,17.145,-0.179024638,,199,26.02961506,15.3,-0.328847811,
YBR162W-A,YSY6,124.5,22.50324542,22.53,0.20520191,,59.49906575,21.95888029,17.91,-0.127487281,
YBR163W,DEM1,,,,,Abundance Low,,,,,Abundance Low
YBR164C,ARL1,408,28.16902115,16.515,-0.750212158,,235,25.56301549,16.045,0.267335636,
YBR166C,TYR1,169.5,23.27454873,22.225,1.556247152,,155.5,24.92572278,15.13,-0.826179552,
YBR167C,POP7,,,,,Abundance Low,84.961726,22.358357,16.81,-0.177369426,
YBR168W,PEX32,,,,,Abundance Low,,,,,Abundance Low
YBR169C,SSE2,144,22.82414899,27.42,5.97055306,,301,28.40658722,17.285,2.543120568,
YBR170C,NPL4,175.5,23.38458666,19.79,-0.673700273,,148.5,24.44287234,16.225,-0.035277066,
YBR171W,SEC66,623.5,33.8688379,14.125,-1.998642264,,463.5,32.05023686,14.27,0.009782189,
YBR172C,SMY2,192,23.69240002,18.86,-1.017534,,238,36.16739266,,,
YBR173C,UMP1,,,,,Abundance Low,,,,,Abundance Low
YBR175W,SWD3,,,,,Abundance Low,,,,,Abundance Low
YBR176W,ECM31,,,,,Abundance Low,,,,,Abundance Low
YBR177C,EHT1,190,23.65455946,20.75,0.839775897,,363.5,30.61070113,13.725,-0.661625176,
YBR179C,FZO1,68,21.47618092,26.375,-0.977957309,,60.46507775,21.93489961,18.885,1.167354448,
YBR181C,RPS6B,260,25.05824748,19.01,0.280965657,,287,27.22116679,24.445,9.608107823,
YBR185C,MBA1,118,22.19655791,22.69,-0.127632376,,129.5,23.16286313,20.25,2.567087383,
YBR187W,,204.5,23.71031796,19.895,-0.267006513,,87,22.36430048,,,
YBR188C,NTC20,46.5,21.35413671,,,,106.0060045,22.72398983,16.265,-0.212328642,
YBR189W,RPS9B,8509,300.7252737,11.17,-1.429764203,,,,,,No Measurement
YBR191W,RPL21A,4399,159.5002474,10.39,-2.70850187,,3283.5,139.4955904,8.885,-3.406261581,
YBR193C,MED8,57.5,21.5048943,,,,,,,,Abundance Low
YBR194W,SOY1,,,,,Abundance Low,,,,,Abundance Low
YBR195C,MSI1,,,,,Abundance Low,,,,,Abundance Low
YBR196C,PGI1,12656.5,443.9665615,14.25,1.872189867,,9360,374.5198951,12.545,0.6772902,
YBR197C,,,,,,Abundance Low,,,,,Abundance Low
YBR198C,TAF5,,,,,Abundance Low,,,,,Abundance Low
YBR199W,KTR4,84.5,21.87757035,30.565,5.700203758,,72.5,22.16638319,,,
YBR200W,BEM1,145.5,22.85073858,22.135,0.894736653,,140.5,24.32492127,17.72,1.410097902,
YBR202W,CDC47,237.5,24.59089384,23.285,4.725539281,,181,25.26864927,20.71,4.684765828,
YBR205W,KTR3,61.5,21.38425349,,,,,,,,Abundance Low
YBR207W,FTH1,412,28.28983622,20.24,2.98562335,,173,24.11388871,20.155,3.523030663,
YBR208C,"DUR1,2",88,21.92675204,32.61,7.914270357,,179.5,25.84054741,24.26,8.376432167,
YBR211C,AME1,61,21.55735789,,,,,,,,Abundance Low
YBR212W,NGR1,135.5,22.68073037,21.63,0.070863264,,147.5,24.46316721,15.89,-0.436773699,
YBR214W,SDS24,138,22.72395453,23.17,1.826784872,,235,26.62911412,16.75,1.593232558,
YBR215W,HPC2,,,,,Abundance Low,,,,,Failed QC
YBR216C,YBP1,101.5,22.13152423,22.1,-1.223,,101.5,23.45188894,16.94,-0.186796667,
YBR218C,PYC2,807.5,39.5846772,17.68,2.204241137,,1854.5,83.91673923,12.655,0.01632371,
YBR221C,PDB1,545.5,32.06322358,22.67,6.227385005,,530.5,35.74419322,19.125,5.267491567,
YBR222C,PCS60,301,25.67465267,23.61,5.299132679,,334,28.39700488,17.085,2.205395138,
YBR223C,TDP1,,,,,Abundance Low,,,,,Abundance Low
YBR225W,,,,,,Abundance Low,,,,,Abundance Low
YBR227C,MCX1,72,21.69740009,24.525,-1.086545315,,117,23.77904743,17.375,0.517598176,
YBR230C,,,,,,Abundance Low,,,,,Abundance Low
YBR231C,SWC5,,,,,Abundance Low,,,,,Abundance Low
YBR233W,PBP2,,,,,Abundance Low,,,,,Abundance Low
YBR233W-A,DAD3,111.5,22.28814142,,,,,,,,Abundance Low
YBR234C,ARC40,,,,,Failed QC,839.5,46.65217363,,,
YBR235W,,,,,,Abundance Low,,,,,Abundance Low
YBR236C,ABD1,75,21.75623099,24.12,-1.751521974,,75,23.18622805,17.54,-0.341202314,
YBR237W,PRP5,68,21.63912491,24.345,-2.662064316,,51.5,22.48562055,,,
YBR238C,,,,,,Abundance Low,,,,,Abundance Low
YBR239C,,,,,,Abundance Low,,,,,Abundance Low
YBR241C,,101.5,21.95140331,24.72,0.024270357,,99.5,22.627417,,,
YBR242W,,77,21.77245959,26.955,2.00322668,,,,,,Abundance Low
YBR244W,GPX2,462.5,29.86114953,31.24,14.29765293,,213.1864703,25.05985524,28.45,13.33886636,
YBR245C,ISW1,208.5,24.00964028,18.845,-0.823760745,,170.5,25.01990955,16.455,0.450799927,
YBR247C,ENP1,402,28.33543474,16.995,-0.195588817,,,,,,Failed QC
YBR248C,HIS7,600,33.57303033,15.53,-0.578468102,,1090.5,54.62211391,15.185,2.138253927,
YBR249C,ARO4,1945.5,76.18339728,17.31,3.330470237,,3767.5,157.8691137,11.85,-0.373513949,
YBR251W,MRPS5,67.5,21.63792752,26.585,-0.289850439,,106.5,23.79037017,15.695,-1.256031636,
YBR252W,DUT1,182,23.53179017,21.97,1.843638103,,173.1625375,24.22571788,17.19,1.787406157,
YBR253W,SRB6,92,21.80475762,25.19,0.104556305,,49.6759445,21.75304383,,,
YBR254C,TRS20,63.5,21.40975197,,,,,,,,Abundance Low
YBR255W,,,,,,Abundance Low,,,,,Abundance Low
YBR256C,RIB5,,,,,Abundance Low,,,,,Abundance Low
YBR258C,SHG1,,,,,Failed QC,135.1795315,23.30154926,16.065,0.018450649,
YBR259W,,,,,,Abundance Low,,,,,Abundance Low
YBR260C,RGD1,113,22.31157922,21.98,-0.890647126,,108.5,23.63435695,17.5,0.319928069,
YBR261C,,,,,,Abundance Low,59.5,22.81988952,19.245,0.762772106,
YBR262C,FMP51,177.5,23.19368081,20.445,-0.167723795,,152.774792,23.68563011,15.725,-0.114069921,
YBR263W,SHM1,202.5,23.6543832,22.74,2.637162542,,228,26.43259299,18.02,2.658598314,
