ORF,Name,YEPD_mean,YEPD_error,YEPD_cv,YEPD_dm,YEPD_note,SD_mean,SD_error,SD_cv,SD_dm,SD_note
YMR208W,ERG12,294.5,25.81554734,18.445,0.260364587,,173,25.30752276,14.635,-1.015792187,
YMR209C,,,,,,Abundance Low,,,,,Abundance Low
YMR212C,EFR3,211.5,23.83116788,19.125,-0.635794045,,152.9380285,23.73902969,16.135,0.277016757,
YMR213W,CEF1,,,,,Abundance Low,,,,,Abundance Low
YMR214W,SCJ1,74.5,21.74572932,24.485,-1.280836775,,,,,,Abundance Low
YMR215W,GAS3,301,25.94933139,17.83,-0.37144584,,,,,,Failed QC
YMR216C,SKY1,173.5,23.34793096,18.75,-1.44808849,,164,24.85985308,15.765,-0.184437334,
YMR218C,TRS130,,,,,Abundance Low,,,,,Abundance Low
YMR219W,ESC1,,,,,Abundance Low,,,,,Abundance Low
YMR220W,ERG8,220.5,24.24795096,20.225,0.869570556,,227,26.82015236,18.075,2.925950334,
YMR221C,FMP42,,,,,Abundance Low,,,,,Abundance Low
YMR222C,FSH2,159.5,23.0957472,21.46,0.705266046,,113.5,23.90451906,,,
YMR223W,UBP8,,,,,Abundance Low,,,,,Abundance Low
YMR224C,MRE11,,,,,Abundance Low,,,,,Abundance Low
YMR225C,MRPL44,,,,,Abundance Low,63.012708,21.96901602,17.705,0.073154867,
YMR226C,,213.5,24.13202715,23.22,3.66938369,,209.5,26.30104132,15.285,-0.099134356,
YMR227C,TAF7,,,,,Abundance Low,,,,,Abundance Low
YMR229C,RRP5,919.5,43.00682179,18.455,3.257535814,,425,33.43058249,14.815,0.542283451,
YMR230W,RPS10B,3072.5,114.167373,11.115,-2.307033034,,2497.5,109.0297133,9.67,-2.775116936,
YMR231W,PEP5,101,22.12327389,22.065,-1.473372821,,82.44808375,22.37004867,18.05,0.842742243,
YMR232W,FUS2,,,,,Abundance Low,176.5,25.17879181,16.465,0.717130209,
YMR233W,,,,,,Abundance Low,,,,,Abundance Low
YMR234W,RNH1,,,,,Abundance Low,,,,,Abundance Low
YMR235C,RNA1,1270,53.98337566,13.815,-0.81574172,,830,45.78220244,12.335,-1.009921934,
YMR236W,TAF9,248.5,24.8192097,17.645,-1.162529426,,156.859762,23.92625818,,,
YMR237W,BCH1,235.5,24.54968309,17.14,-1.879201731,,238.5,26.67500501,15.075,-0.062558069,
YMR238W,DFG5,343,26.9093172,16.96,-0.87869419,,214.5,25.15361771,15.87,0.157120672,
YMR239C,RNT1,72,21.69616474,25.345,-0.420836775,,,,,,Abundance Low
YMR240C,CUS1,,,,,Abundance Low,,,,,Abundance Low
YMR241W,YHM2,672.5,35.27594217,20.855,4.971223175,,1333,62.67677538,,,
YMR242C,RPL20A,3259.5,120.5224913,11.805,-1.587052038,,2603.514061,110.6946803,,,
YMR243C,ZRC1,692,35.81002285,15.21,-0.64466012,,366.5,29.066423,15.1,0.248026448,
YMR244C-A,,182.5,23.28361904,22.89,2.426299727,,161.6761798,23.8641358,15.8,0.19277226,
YMR246W,FAA4,1765,70.20142705,17.745,3.62088961,,1104.5,55.23260876,14.9,1.857040865,
YMR250W,GAD1,,,,,Abundance Low,70.5,22.71530987,,,
YMR251W-A,HOR7,1662.5,66.37167692,32.705,18.35984417,,3645.345298,153.412256,21.555,9.299404103,
YMR252C,,,,,,Failed QC/Abundance Low,,,,,Failed QC/Abundance Low
YMR253C,,102.5,22.14793502,27.805,4.65779926,,74,23.08514962,16.825,-1.152596358,
YMR255W,GFD1,136,22.68846298,21.63,-0.199633233,,142.7611498,23.50136201,15.79,-0.067983243,
YMR256C,COX7,261,25.07903722,20.835,2.168380017,,503.5,33.31173819,15.385,1.295464326,
YMR257C,PET111,,,,,Abundance Low,,,,,Abundance Low
YMR258C,,,,,,Abundance Low,,,,,Abundance Low
YMR259C,,179,23.45679943,21.565,1.378987983,,,,,,Failed QC
YMR260C,TIF11,1289.5,54.60745644,12.355,-2.24033668,,1173.57945,56.45204473,12.81,-0.114399089,
YMR261C,TPS3,615.5,33.99050042,18.14,1.954179436,,655.5,39.50049633,13.8,0.180507627,
YMR263W,SAP30,,,,,Abundance Low,,,,,Failed QC
YMR264W,CUE1,,,,,Abundance Low,,,,,Abundance Low
YMR266W,RSN1,340,26.86784952,19.105,1.32289929,,200.7544463,24.81593089,16.395,1.186927624,
YMR267W,PPA2,,,,,Abundance Low,,,,,Abundance Low
YMR268C,PRP24,,,,,Abundance Low,,,,,Abundance Low
YMR269W,,88,21.93655614,23.825,-0.628611752,,78.237217,22.24734919,18.055,0.763889078,
