category	GOID	GOterm	nall	nset	nhits	nrefs	p	fdr	hits	hits2
Process	GO:0050657	nucleic acid transport	4511	474	30	130	1.8e-4	0.0053	YBL079W,YBR017C,YCL011C,YDR091C,YDR101C,YDR159W,YDR335W,YDR395W,YDR457W,YER107C,YER110C,YER125W,YER165W,YFR001W,YGL092W,YGL099W,YGL100W,YGL172W,YGL174W,YGR116W,YIR005W,YJL039C,YJL050W,YNL055C,YNR053C,YOL021C,YOL121C,YOR046C,YOR294W,YPL093W	NUP170,KAP104,GBP2,RLI1,ARX1,SAC3,MSN5,SXM1,TOM1,GLE2,KAP123,RSP5,PAB1,LOC1,NUP145,LSG1,SEH1,NUP49,BUD13,SPT6,IST3,NUP192,MTR4,POR1,NOG2,DIS3,RPS19A,DBP5,RRS1,NOG1
Process	GO:0044267	cellular protein metabolic process	4511	474	133	942	2.4e-4	0.007	YAL016W,YAL054C,YBL016W,YBL027W,YBL092W,YBR081C,YBR084C-A,YBR125C,YBR173C,YBR198C,YCL008C,YCR008W,YCR017C,YCR066W,YDL017W,YDL064W,YDL076C,YDL188C,YDL190C,YDR023W,YDR037W,YDR054C,YDR075W,YDR080W,YDR091C,YDR172W,YDR176W,YDR190C,YDR211W,YDR295C,YDR392W,YDR435C,YDR448W,YDR457W,YEL036C,YEL037C,YER003C,YER012W,YER025W,YER089C,YER094C,YER125W,YER164W,YFL022C,YFL025C,YFR004W,YFR050C,YGL022W,YGL048C,YGL129C,YGL142C,YGL245W,YGR048W,YGR135W,YHR011W,YHR019C,YHR108W,YHR119W,YIL046W,YIL051C,YIL075C,YIL103W,YIL112W,YJL001W,YJL081C,YJL115W,YJL128C,YJL165C,YJL168C,YJL187C,YJR113C,YJR119C,YKL002W,YKL010C,YKL059C,YKL126W,YKL145W,YKL155C,YKL165C,YKL210W,YKL213C,YLL018C,YLL060C,YLR060W,YLR075W,YLR113W,YLR163C,YLR352W,YLR362W,YLR373C,YLR378C,YLR417W,YML088W,YMR001C,YMR024W,YMR075W,YMR080C,YMR097C,YMR231W,YMR275C,YMR304W,YMR309C,YNL021W,YNL040W,YNL056W,YNL077W,YNL096C,YNL099C,YNL161W,YNL244C,YNL306W,YNL326C,YNR031C,YNR032W,YNR051C,YOL110W,YOL121C,YOL145C,YOR046C,YOR244W,YOR320C,YOR371C,YPL020C,YPL047W,YPL104W,YPL153C,YPL160W,YPL204W,YPL237W,YPL254W,YPR056W,YPR103W,YPR176C	TPD3,ACS1,FUS3,RPL19B,RPL32,SPT7,RPL19A,PTC4,UMP1,TAF5,STP22,SAT4,CWH43,RAD18,CDC7,UBC9,RXT3,PPH22,UFD2,SES1,KRS1,CDC34,PPH3,VPS41,RLI1,SUP35,NGG1,RVB1,GCD6,HDA2,SPT3,PPM1,ADA2,TOM1,ANP1,RAD23,PMI40,PRE1,GCD11,PTC2,PUP3,RSP5,CHD1,FRS2,BST1,RPN11,PRE4,STT3,RPT6,RSM23,GPI10,GUS1,UFD1,PRE9,DIA4,DED81,GGA2,SET1,MET30,MMF1,RPN2,DPH1,HOS4,PRE3,ARP4,ASF1,PBS2,HAL5,SET2,SWE1,RSM7,JHD2,DID4,UFD4,MPE1,YPK1,RPT1,RSM22,MCD4,UBA1,DOA1,DPS1,GTT2,FRS1,RPL10,HOG1,MAS1,YLR352W,STE11,VID22,SEC61,VPS36,UFO1,CDC5,MRPL3,RCO1,NAM7,MTG1,PEP5,BUL1,UBP15,NIP1,HDA1,YNL040W,OCA2,APJ1,RPS7B,OCA1,CBK1,SUI1,MRPS18,PFA3,SSK2,PPG1,BRE5,SHR5,RPS19A,CTR9,DBP5,ESA1,GNT1,GPB1,ULP1,SGF11,MSD1,RAD53,CDC60,HRR25,SUI3,HFI1,TFB4,PRE2,BET2
Process	GO:0051276	chromosome organization	4511	474	73	448	2.6e-4	0.0074	YAL054C,YBL035C,YBL079W,YBR081C,YBR112C,YBR198C,YCL011C,YCR084C,YDL064W,YDL076C,YDL106C,YDR071C,YDR159W,YDR176W,YDR190C,YDR207C,YDR295C,YDR310C,YDR392W,YDR448W,YER088C,YER107C,YER125W,YER164W,YGL014W,YGL048C,YGL092W,YGR116W,YGR178C,YHR056C,YHR119W,YIL112W,YIL126W,YJL019W,YJL072C,YJL081C,YJL115W,YJL168C,YJR060W,YJR119C,YJR140C,YKL020C,YKR038C,YKR042W,YKR048C,YLR052W,YLR223C,YLR288C,YLR430W,YML069W,YML121W,YMR001C,YMR033W,YMR075W,YMR080C,YMR179W,YMR219W,YMR231W,YNL021W,YNL215W,YNL262W,YOL094C,YOL145C,YOR141C,YOR244W,YOR272W,YPL047W,YPL075W,YPL128C,YPL254W,YPR034W,YPR085C,YPR175W	ACS1,POL12,NUP170,SPT7,CYC8,TAF5,GBP2,TUP1,UBC9,RXT3,PHO2,PAA1,SAC3,NGG1,RVB1,UME6,HDA2,SUM1,SPT3,ADA2,DOT6,GLE2,RSP5,CHD1,PUF4,RPT6,NUP145,SPT6,PBP1,RSC30,SET1,HOS4,STH1,MPS3,PSF2,ARP4,ASF1,SET2,CBF1,JHD2,HIR3,SPT23,KAE1,UTH1,NAP1,IES3,IFH1,MEC3,SEN1,POB3,GTR1,CDC5,ARP9,RCO1,NAM7,SPT21,ESC1,PEP5,HDA1,IES2,POL2,RFC4,CTR9,ARP8,ESA1,YTM1,SGF11,GCR1,TBF1,HFI1,ARP7,ASA1,DPB2
Process	GO:0006403	RNA localization	4511	474	31	140	2.7e-4	0.0075	YBL079W,YBR017C,YCL011C,YDR091C,YDR101C,YDR159W,YDR335W,YDR395W,YDR457W,YER107C,YER110C,YER125W,YER165W,YFR001W,YGL092W,YGL099W,YGL100W,YGL172W,YGL174W,YGR116W,YIR005W,YJL039C,YJL050W,YLL013C,YMR080C,YNR053C,YOL021C,YOL121C,YOR046C,YOR294W,YPL093W	NUP170,KAP104,GBP2,RLI1,ARX1,SAC3,MSN5,SXM1,TOM1,GLE2,KAP123,RSP5,PAB1,LOC1,NUP145,LSG1,SEH1,NUP49,BUD13,SPT6,IST3,NUP192,MTR4,PUF3,NAM7,NOG2,DIS3,RPS19A,DBP5,RRS1,NOG1
Process	GO:0045944	positive regulation of transcription by RNA polymerase II	4511	474	48	259	2.7e-4	0.0077	YBR033W,YBR112C,YCR018C,YCR042C,YCR093W,YDL106C,YDR073W,YDR081C,YDR207C,YDR213W,YDR295C,YDR423C,YDR463W,YER125W,YGL013C,YGL048C,YGR116W,YGR134W,YGR270W,YHL027W,YHR119W,YJL115W,YJR060W,YJR119C,YKL020C,YKL058W,YKL145W,YKR038C,YKR048C,YLR071C,YLR113W,YLR223C,YLR256W,YML069W,YMR016C,YMR033W,YMR070W,YMR075W,YMR136W,YNL021W,YOL028C,YOL051W,YOL135C,YOR244W,YOR298C-A,YPL075W,YPL202C,YPR034W	EDS1,CYC8,SRD1,TAF2,CDC39,PHO2,SNF11,PDC2,UME6,UPC2,HDA2,CAD1,STP1,RSP5,PDR1,RPT6,SPT6,CAF130,YTA7,RIM101,SET1,ASF1,CBF1,JHD2,SPT23,TOA2,RPT1,KAE1,NAP1,RGR1,HOG1,IFH1,HAP1,POB3,SOK2,ARP9,MOT3,RCO1,GAT2,HDA1,YAP7,GAL11,MED7,ESA1,MBF1,GCR1,AFT2,ARP7
Process	GO:0040029	regulation of gene expression, epigenetic	4511	474	28	121	2.8e-4	0.0079	YBL079W,YDR310C,YDR448W,YER088C,YGL014W,YGL092W,YGR116W,YGR270W,YHR119W,YIL126W,YJL019W,YJL115W,YJR119C,YKL020C,YKR042W,YLR052W,YLR223C,YLR288C,YML121W,YMR075W,YMR080C,YMR179W,YMR219W,YNL021W,YNL262W,YOR244W,YPL128C,YPR175W	NUP170,SUM1,ADA2,DOT6,PUF4,NUP145,SPT6,YTA7,SET1,STH1,MPS3,ASF1,JHD2,SPT23,UTH1,IES3,IFH1,MEC3,GTR1,RCO1,NAM7,SPT21,ESC1,HDA1,POL2,ESA1,TBF1,DPB2
Process	GO:0019538	protein metabolic process	4511	474	141	1015	2.9e-4	0.0079	YAL016W,YAL054C,YBL016W,YBL027W,YBL092W,YBR081C,YBR084C-A,YBR106W,YBR125C,YBR173C,YBR198C,YBR281C,YCL008C,YCR008W,YCR017C,YCR066W,YDL017W,YDL064W,YDL076C,YDL188C,YDL190C,YDR023W,YDR037W,YDR054C,YDR075W,YDR080W,YDR091C,YDR101C,YDR172W,YDR176W,YDR190C,YDR211W,YDR295C,YDR392W,YDR435C,YDR448W,YDR457W,YEL036C,YEL037C,YER003C,YER012W,YER025W,YER089C,YER094C,YER125W,YER164W,YFL022C,YFL025C,YFR004W,YFR050C,YGL022W,YGL045W,YGL048C,YGL129C,YGL142C,YGL245W,YGR048W,YGR135W,YHR011W,YHR019C,YHR108W,YHR119W,YIL046W,YIL051C,YIL075C,YIL103W,YIL112W,YIL128W,YJL001W,YJL081C,YJL115W,YJL128C,YJL165C,YJL168C,YJL187C,YJR113C,YJR119C,YKL002W,YKL010C,YKL059C,YKL126W,YKL145W,YKL155C,YKL165C,YKL210W,YKL213C,YLL018C,YLL060C,YLR060W,YLR075W,YLR113W,YLR163C,YLR352W,YLR362W,YLR373C,YLR378C,YLR417W,YML088W,YMR001C,YMR024W,YMR075W,YMR080C,YMR097C,YMR154C,YMR231W,YMR275C,YMR304W,YMR309C,YNL021W,YNL040W,YNL056W,YNL077W,YNL096C,YNL099C,YNL161W,YNL169C,YNL244C,YNL306W,YNL326C,YNR031C,YNR032W,YNR051C,YOL110W,YOL121C,YOL145C,YOL154W,YOR046C,YOR244W,YOR320C,YOR371C,YPL020C,YPL047W,YPL104W,YPL153C,YPL160W,YPL204W,YPL237W,YPL254W,YPR056W,YPR103W,YPR176C	TPD3,ACS1,FUS3,RPL19B,RPL32,SPT7,RPL19A,PHO88,PTC4,UMP1,TAF5,DUG2,STP22,SAT4,CWH43,RAD18,CDC7,UBC9,RXT3,PPH22,UFD2,SES1,KRS1,CDC34,PPH3,VPS41,RLI1,ARX1,SUP35,NGG1,RVB1,GCD6,HDA2,SPT3,PPM1,ADA2,TOM1,ANP1,RAD23,PMI40,PRE1,GCD11,PTC2,PUP3,RSP5,CHD1,FRS2,BST1,RPN11,PRE4,STT3,RIM8,RPT6,RSM23,GPI10,GUS1,UFD1,PRE9,DIA4,DED81,GGA2,SET1,MET30,MMF1,RPN2,DPH1,HOS4,MET18,PRE3,ARP4,ASF1,PBS2,HAL5,SET2,SWE1,RSM7,JHD2,DID4,UFD4,MPE1,YPK1,RPT1,RSM22,MCD4,UBA1,DOA1,DPS1,GTT2,FRS1,RPL10,HOG1,MAS1,YLR352W,STE11,VID22,SEC61,VPS36,UFO1,CDC5,MRPL3,RCO1,NAM7,MTG1,RIM13,PEP5,BUL1,UBP15,NIP1,HDA1,YNL040W,OCA2,APJ1,RPS7B,OCA1,CBK1,PSD1,SUI1,MRPS18,PFA3,SSK2,PPG1,BRE5,SHR5,RPS19A,CTR9,ZPS1,DBP5,ESA1,GNT1,GPB1,ULP1,SGF11,MSD1,RAD53,CDC60,HRR25,SUI3,HFI1,TFB4,PRE2,BET2
Process	GO:0098781	ncRNA transcription	4511	474	14	39	2.9e-4	0.008	YAL001C,YBL014C,YBR123C,YDR045C,YEL055C,YER148W,YHR143W-A,YJL011C,YKL144C,YOL145C,YOR340C,YOR341W,YPL128C,YPR186C	TFC3,RRN6,TFC1,RPC11,POL5,SPT15,RPC10,RPC17,RPC25,CTR9,RPA43,RPA190,TBF1,PZF1
Process	GO:0050658	RNA transport	4511	474	29	128	3e-4	0.0081	YBL079W,YBR017C,YCL011C,YDR091C,YDR101C,YDR159W,YDR335W,YDR395W,YDR457W,YER107C,YER110C,YER125W,YER165W,YFR001W,YGL092W,YGL099W,YGL100W,YGL172W,YGL174W,YGR116W,YIR005W,YJL039C,YJL050W,YNR053C,YOL021C,YOL121C,YOR046C,YOR294W,YPL093W	NUP170,KAP104,GBP2,RLI1,ARX1,SAC3,MSN5,SXM1,TOM1,GLE2,KAP123,RSP5,PAB1,LOC1,NUP145,LSG1,SEH1,NUP49,BUD13,SPT6,IST3,NUP192,MTR4,NOG2,DIS3,RPS19A,DBP5,RRS1,NOG1
Process	GO:0048523	negative regulation of cellular process	4511	474	77	483	3.2e-4	0.0083	YAL016W,YBL016W,YBL079W,YBR112C,YCL008C,YCR084C,YCR093W,YDL017W,YDL076C,YDL188C,YDR075W,YDR099W,YDR207C,YDR295C,YDR310C,YDR448W,YEL037C,YER088C,YER089C,YER164W,YGL014W,YGL092W,YGL197W,YGR048W,YGR116W,YGR122W,YGR178C,YGR270W,YHL027W,YHR119W,YHR129C,YIL033C,YIL112W,YIL126W,YJL019W,YJL090C,YJL115W,YJL130C,YJL168C,YJL187C,YJR060W,YJR119C,YJR138W,YJR140C,YKL010C,YKL020C,YKL032C,YKL126W,YKR042W,YLR052W,YLR071C,YLR223C,YLR256W,YLR288C,YLR350W,YLR417W,YML121W,YMR070W,YMR075W,YMR080C,YMR179W,YMR219W,YNL021W,YNL076W,YNL262W,YOL051W,YOL078W,YOL135C,YOR244W,YOR359W,YOR371C,YPL075W,YPL128C,YPL153C,YPR040W,YPR065W,YPR175W	TPD3,FUS3,NUP170,CYC8,STP22,TUP1,CDC39,CDC7,RXT3,PPH22,PPH3,BMH2,UME6,HDA2,SUM1,ADA2,RAD23,DOT6,PTC2,CHD1,PUF4,NUP145,MDS3,UFD1,SPT6,YGR122W,PBP1,YTA7,RIM101,SET1,ARP1,BCY1,HOS4,STH1,MPS3,DPB11,ASF1,URA2,SET2,SWE1,CBF1,JHD2,IML1,HIR3,UFD4,SPT23,IXR1,YPK1,UTH1,IES3,RGR1,IFH1,HAP1,MEC3,ORM2,VPS36,GTR1,MOT3,RCO1,NAM7,SPT21,ESC1,HDA1,MKS1,POL2,GAL11,AVO1,MED7,ESA1,VTS1,GPB1,GCR1,TBF1,RAD53,TIP41,ROX1,DPB2
