Protein	Gene	ProteinName	EntrezID	ProteinCopy	Comparison	log2FC	pvalue	adj.pvalue	imputed	iLog2FC	iPvalue	SIT4	IRA2	POP1	RAS22	SAP155	SSY5	WT	RAS21	CMA	Species
YAL007C	YAL007C	NA	NA	YAL007C	IRA2-WT	-0.381001676800238	0.570670071354924	0.735166126808526	no	-0.381001676800238	0.735166126808526	1	1	2	1	0	3	2	3	WT	yeast
YAL007C	YAL007C	NA	NA	YAL007C	POP1-WT	-0.236500859147009	0.664507538494617	0.794920916504251	no	-0.236500859147009	0.794920916504251	1	1	2	1	0	3	2	3	WT	yeast
YAL007C	YAL007C	NA	NA	YAL007C	SIT4-WT	-0.782023065075423	0.264446084221159	0.457670115260441	no	-0.782023065075423	0.457670115260441	1	1	2	1	0	3	2	3	WT	yeast
YAL007C	YAL007C	NA	NA	YAL007C	RAS21-WT	-0.066940633935491	0.892218267596311	0.944480526001657	no	-0.066940633935491	0.944480526001657	1	1	2	1	0	3	2	3	WT	yeast
YAL007C	YAL007C	NA	NA	YAL007C	SAP155-WT	-Inf	NA	0	yes	-12.2606664627782	0.0173815	1	1	2	1	0	3	2	3	WT	yeast
YAL007C	YAL007C	NA	NA	YAL007C	RAS22-WT	-0.696966982260767	0.31472371385054	0.489029236063556	no	-0.696966982260767	0.489029236063556	1	1	2	1	0	3	2	3	WT	yeast
YAL012W	YAL012W	NA	NA	YAL012W	RAS22-WT	-0.276101229544268	0.0687661875953018	0.166432832870292	no	-0.276101229544268	0.166432832870292	3	3	3	3	3	3	3	3	WT	yeast
YAL012W	YAL012W	NA	NA	YAL012W	SSY5-WT	0.189255736775391	0.199770206654061	0.37311365149363	no	0.189255736775391	0.37311365149363	3	3	3	3	3	3	3	3	SSY5	yeast
YAL012W	YAL012W	NA	NA	YAL012W	IRA2-WT	-0.146641551300331	0.315461965098776	0.511572733603362	no	-0.146641551300331	0.511572733603362	3	3	3	3	3	3	3	3	WT	yeast
YAL012W	YAL012W	NA	NA	YAL012W	RAS21-WT	-0.0638795904169562	0.657731853975921	0.803610125091203	no	-0.0638795904169562	0.803610125091203	3	3	3	3	3	3	3	3	WT	yeast
YAL012W	YAL012W	NA	NA	YAL012W	POP1-WT	-0.593403256446651	0.000687634398674364	0.00747786184477166	no	-0.593403256446651	0.00747786184477166	3	3	3	3	3	3	3	3	WT	yeast
YAL012W	YAL012W	NA	NA	YAL012W	SIT4-WT	0.0621987389953193	0.666134459362852	0.809902242961295	no	0.0621987389953193	0.809902242961295	3	3	3	3	3	3	3	3	SIT4	yeast
YAL012W	YAL012W	NA	NA	YAL012W	SAP155-WT	-0.427939673021045	0.00806075190990541	0.0239799263504366	no	-0.427939673021045	0.0239799263504366	3	3	3	3	3	3	3	3	WT	yeast
YAL013W	YAL013W	NA	NA	YAL013W	SIT4-WT	Inf	NA	0	yes	8.35174288736597	0.0154483	2	0	1	0	0	0	0	1	SIT4	yeast
YAL014C	YAL014C	NA	NA	YAL014C	SIT4-WT	Inf	NA	0	yes	10.2251457634367	0.0401452	2	1	0	0	1	1	0	1	SIT4	yeast
YAL016W	YAL016W	NA	NA	YAL016W	SSY5-WT	0.269093725114549	0.284493902805706	0.464115543400681	no	0.269093725114549	0.464115543400681	2	3	3	3	3	3	3	3	SSY5	yeast
YAL016W	YAL016W	NA	NA	YAL016W	RAS21-WT	0.0600118919671962	0.807848581798333	0.902319091808543	no	0.0600118919671962	0.902319091808543	2	3	3	3	3	3	3	3	RAS21	yeast
YAL016W	YAL016W	NA	NA	YAL016W	POP1-WT	-0.4074566154655	0.113523999095434	0.251859220116276	no	-0.4074566154655	0.251859220116276	2	3	3	3	3	3	3	3	WT	yeast
YAL016W	YAL016W	NA	NA	YAL016W	SIT4-WT	-0.268961768994677	0.336793540755058	0.536267826695822	no	-0.268961768994677	0.536267826695822	2	3	3	3	3	3	3	3	WT	yeast
YAL016W	YAL016W	NA	NA	YAL016W	RAS22-WT	-1.10876585153106	0.000365754963987941	0.00324526754266332	no	-1.10876585153106	0.00324526754266332	2	3	3	3	3	3	3	3	WT	yeast
YAL016W	YAL016W	NA	NA	YAL016W	IRA2-WT	-0.293878249009264	0.244187550231253	0.436176883282765	no	-0.293878249009264	0.436176883282765	2	3	3	3	3	3	3	3	WT	yeast
YAL016W	YAL016W	NA	NA	YAL016W	SAP155-WT	-0.985942514078387	0.0010121309458766	0.00454706411930063	no	-0.985942514078387	0.00454706411930063	2	3	3	3	3	3	3	3	WT	yeast
YAL017W	YAL017W	NA	NA	YAL017W	RAS21-WT	0.884271341873208	0.101965019183155	0.252350865209936	no	0.884271341873208	0.252350865209936	3	2	3	3	2	1	3	3	RAS21	yeast
YAL017W	YAL017W	NA	NA	YAL017W	SSY5-WT	0.652498916068033	0.373713775453307	0.549793037671747	no	0.652498916068033	0.549793037671747	3	2	3	3	2	1	3	3	SSY5	yeast
YAL017W	YAL017W	NA	NA	YAL017W	SIT4-WT	1.01210688067939	0.0654945641006168	0.177203565178222	no	1.01210688067939	0.177203565178222	3	2	3	3	2	1	3	3	SIT4	yeast
YAL017W	YAL017W	NA	NA	YAL017W	RAS22-WT	1.10386340300663	0.0472324560290254	0.126439975574502	no	1.10386340300663	0.126439975574502	3	2	3	3	2	1	3	3	RAS22	yeast
YAL017W	YAL017W	NA	NA	YAL017W	SAP155-WT	0.184017126995706	0.747382052881804	0.829395051338531	no	0.184017126995706	0.829395051338531	3	2	3	3	2	1	3	3	SAP155	yeast
YAL017W	YAL017W	NA	NA	YAL017W	POP1-WT	0.461530104666505	0.373569937644686	0.550395992252567	no	0.461530104666505	0.550395992252567	3	2	3	3	2	1	3	3	POP1	yeast
YAL017W	YAL017W	NA	NA	YAL017W	IRA2-WT	0.0547144273158388	0.923548666528025	0.96425277977252	no	0.0547144273158388	0.96425277977252	3	2	3	3	2	1	3	3	IRA2	yeast
YAL019W	YAL019W	NA	NA	YAL019W	POP1-WT	-1.06385224830397	0.143929985712197	0.295341480582701	no	-1.06385224830397	0.295341480582701	3	2	1	2	1	1	3	3	WT	yeast
YAL019W	YAL019W	NA	NA	YAL019W	RAS22-WT	-1.14353629028096	0.0587736457952244	0.149222067332466	no	-1.14353629028096	0.149222067332466	3	2	1	2	1	1	3	3	WT	yeast
YAL019W	YAL019W	NA	NA	YAL019W	RAS21-WT	-1.0998536549126	0.0453669543861048	0.146104858228071	no	-1.0998536549126	0.146104858228071	3	2	1	2	1	1	3	3	WT	yeast
YAL019W	YAL019W	NA	NA	YAL019W	SSY5-WT	-0.220357612593857	0.745864686286125	0.844370139308672	no	-0.220357612593857	0.844370139308672	3	2	1	2	1	1	3	3	WT	yeast
YAL019W	YAL019W	NA	NA	YAL019W	SAP155-WT	-1.64547590142443	0.0366323711908378	0.0801996749712455	no	-1.64547590142443	0.0801996749712455	3	2	1	2	1	1	3	3	WT	yeast
YAL019W	YAL019W	NA	NA	YAL019W	IRA2-WT	-0.800005156904899	0.16193951499137	0.331765253214897	no	-0.800005156904899	0.331765253214897	3	2	1	2	1	1	3	3	WT	yeast
YAL019W	YAL019W	NA	NA	YAL019W	SIT4-WT	-1.33264273924863	0.0208431313857957	0.0787912841468873	no	-1.33264273924863	0.0787912841468873	3	2	1	2	1	1	3	3	WT	yeast
YAL021C	YAL021C	NA	NA	YAL021C	RAS22-WT	-1.20277177656969	0.0221138178551668	0.07220779796401	no	-1.20277177656969	0.07220779796401	2	3	2	1	1	3	3	3	WT	yeast
YAL021C	YAL021C	NA	NA	YAL021C	SSY5-WT	0.031961360423067	0.921033971782391	0.950351712926353	no	0.031961360423067	0.950351712926353	2	3	2	1	1	3	3	3	SSY5	yeast
YAL021C	YAL021C	NA	NA	YAL021C	SAP155-WT	-0.695368878963274	0.148883597957964	0.245464976987994	no	-0.695368878963274	0.245464976987994	2	3	2	1	1	3	3	3	WT	yeast
YAL021C	YAL021C	NA	NA	YAL021C	POP1-WT	-0.904727174776519	0.0277026091404837	0.0947680728093302	no	-0.904727174776519	0.0947680728093302	2	3	2	1	1	3	3	3	WT	yeast
YAL021C	YAL021C	NA	NA	YAL021C	IRA2-WT	-0.143117648333601	0.658668479997153	0.797197961901317	no	-0.143117648333601	0.797197961901317	2	3	2	1	1	3	3	3	WT	yeast
YAL021C	YAL021C	NA	NA	YAL021C	SIT4-WT	-0.0537383911801565	0.881529518705891	0.937482457034889	no	-0.0537383911801565	0.937482457034889	2	3	2	1	1	3	3	3	WT	yeast
YAL021C	YAL021C	NA	NA	YAL021C	RAS21-WT	-0.0946616335067792	0.769506021921792	0.874836415568121	no	-0.0946616335067792	0.874836415568121	2	3	2	1	1	3	3	3	WT	yeast
YAL023C	YAL023C	NA	NA	YAL023C	POP1-WT	-1.08969844952116	0.013301347602924	0.0564459141512111	no	-1.08969844952116	0.0564459141512111	3	3	3	3	3	3	3	3	WT	yeast
YAL023C	YAL023C	NA	NA	YAL023C	SSY5-WT	0.263808547334924	0.51010057522364	0.663206201421943	no	0.263808547334924	0.663206201421943	3	3	3	3	3	3	3	3	SSY5	yeast
YAL023C	YAL023C	NA	NA	YAL023C	RAS22-WT	-1.45875166124783	0.00184078678946342	0.0113847675574942	no	-1.45875166124783	0.0113847675574942	3	3	3	3	3	3	3	3	WT	yeast
YAL023C	YAL023C	NA	NA	YAL023C	IRA2-WT	-0.647286933134352	0.117799412087904	0.268626696723818	no	-0.647286933134352	0.268626696723818	3	3	3	3	3	3	3	3	WT	yeast
YAL023C	YAL023C	NA	NA	YAL023C	SIT4-WT	-0.511929601185682	0.209555772193214	0.390679354189358	no	-0.511929601185682	0.390679354189358	3	3	3	3	3	3	3	3	WT	yeast
YAL023C	YAL023C	NA	NA	YAL023C	SAP155-WT	-0.668395835401861	0.107153803804683	0.190855374941723	no	-0.668395835401861	0.190855374941723	3	3	3	3	3	3	3	3	WT	yeast
YAL023C	YAL023C	NA	NA	YAL023C	RAS21-WT	-0.0685899319971435	0.863144732240964	0.931365793552106	no	-0.0685899319971435	0.931365793552106	3	3	3	3	3	3	3	3	WT	yeast
YAL025C	YAL025C	NA	NA	YAL025C	IRA2-WT	-0.415414353573107	0.320058744697961	0.516155543333129	no	-0.415414353573107	0.516155543333129	3	3	3	3	3	3	3	3	WT	yeast
YAL025C	YAL025C	NA	NA	YAL025C	POP1-WT	-1.83155753518926	0.000345560203244055	0.00447608450764565	no	-1.83155753518926	0.00447608450764565	3	3	3	3	3	3	3	3	WT	yeast
YAL025C	YAL025C	NA	NA	YAL025C	RAS22-WT	-1.19214209380377	0.00950935448527646	0.0385128856653696	no	-1.19214209380377	0.0385128856653696	3	3	3	3	3	3	3	3	WT	yeast
YAL025C	YAL025C	NA	NA	YAL025C	SAP155-WT	-1.66524485923468	0.000812872584109225	0.00380021863789555	no	-1.66524485923468	0.00380021863789555	3	3	3	3	3	3	3	3	WT	yeast
YAL025C	YAL025C	NA	NA	YAL025C	SSY5-WT	-0.970179697749948	0.0291121548061046	0.0963712710822774	no	-0.970179697749948	0.0963712710822774	3	3	3	3	3	3	3	3	WT	yeast
YAL025C	YAL025C	NA	NA	YAL025C	SIT4-WT	-1.54116159355747	0.00154911958191462	0.011255017794932	no	-1.54116159355747	0.011255017794932	3	3	3	3	3	3	3	3	WT	yeast
YAL025C	YAL025C	NA	NA	YAL025C	RAS21-WT	-0.665775872472395	0.119536059020063	0.280892965629933	no	-0.665775872472395	0.280892965629933	3	3	3	3	3	3	3	3	WT	yeast
YAL026C	YAL026C	NA	NA	YAL026C	IRA2-WT	Inf	NA	0	yes	10.4814656763262	0.041819	0	2	1	2	0	0	0	0	IRA2	yeast
YAL026C	YAL026C	NA	NA	YAL026C	RAS22-WT	Inf	NA	0	yes	10.9995342084384	0.0265407	0	2	1	2	0	0	0	0	RAS22	yeast
YAL029C	YAL029C	NA	NA	YAL029C	SSY5-WT	-0.831633507081679	0.0630730908319705	0.167479185868722	no	-0.831633507081679	0.167479185868722	3	2	3	3	3	3	2	2	WT	yeast
YAL029C	YAL029C	NA	NA	YAL029C	RAS22-WT	-0.59141486012096	0.172050554969145	0.318018513742908	no	-0.59141486012096	0.318018513742908	3	2	3	3	3	3	2	2	WT	yeast
YAL029C	YAL029C	NA	NA	YAL029C	IRA2-WT	-1.09605176649655	0.0294817377592662	0.106729139662625	no	-1.09605176649655	0.106729139662625	3	2	3	3	3	3	2	2	WT	yeast
YAL029C	YAL029C	NA	NA	YAL029C	SAP155-WT	-0.57167877159917	0.185788897515581	0.293114729304935	no	-0.57167877159917	0.293114729304935	3	2	3	3	3	3	2	2	WT	yeast
YAL029C	YAL029C	NA	NA	YAL029C	RAS21-WT	-1.85673230713496	0.00115822251950415	0.0126498042130192	no	-1.85673230713496	0.0126498042130192	3	2	3	3	3	3	2	2	WT	yeast
YAL029C	YAL029C	NA	NA	YAL029C	POP1-WT	-0.859670317524057	0.0557277261579625	0.152241969191301	no	-0.859670317524057	0.152241969191301	3	2	3	3	3	3	2	2	WT	yeast
YAL029C	YAL029C	NA	NA	YAL029C	SIT4-WT	-0.0395341729237828	0.924507662788309	0.959610871407369	no	-0.0395341729237828	0.959610871407369	3	2	3	3	3	3	2	2	WT	yeast
YAL032C	YAL032C	NA	NA	YAL032C	RAS22-WT	-Inf	NA	0	yes	-11.0642856078102	0.0463121	1	0	0	0	0	0	2	0	WT	yeast
YAL032C	YAL032C	NA	NA	YAL032C	SSY5-WT	-Inf	NA	0	yes	-9.77973560781017	0.0457449	1	0	0	0	0	0	2	0	WT	yeast
YAL032C	YAL032C	NA	NA	YAL032C	POP1-WT	-Inf	NA	0	yes	-9.43998894114351	0.0152952	1	0	0	0	0	0	2	0	WT	yeast
YAL032C	YAL032C	NA	NA	YAL032C	SAP155-WT	-Inf	NA	0	yes	-12.9521522744768	0.0427454	1	0	0	0	0	0	2	0	WT	yeast
YAL032C	YAL032C	NA	NA	YAL032C	SIT4-WT	-1.6457099820507	0.224065050153492	0.407641402299619	no	-1.6457099820507	0.407641402299619	1	0	0	0	0	0	2	0	WT	yeast
YAL032C	YAL032C	NA	NA	YAL032C	IRA2-WT	-Inf	NA	0	yes	-10.8222089411435	0.0360062	1	0	0	0	0	0	2	0	WT	yeast
YAL032C	YAL032C	NA	NA	YAL032C	RAS21-WT	-Inf	NA	0	yes	-10.4184789411435	0.0478316	1	0	0	0	0	0	2	0	WT	yeast
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	POP1-WT	0.229003783341401	0.758206391965987	0.86181869141655	no	0.229003783341401	0.86181869141655	0	0	1	2	1	2	3	3	POP1	yeast
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	IRA2-WT	-Inf	NA	0	yes	-11.1991263424748	0.039133	0	0	1	2	1	2	3	3	WT	yeast
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	RAS22-WT	0.115685596036752	0.843672901473076	0.907712090899742	no	0.115685596036752	0.907712090899742	0	0	1	2	1	2	3	3	RAS22	yeast
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	SAP155-WT	-0.603319952382694	0.428478452789823	0.555596792056332	no	-0.603319952382694	0.555596792056332	0	0	1	2	1	2	3	3	WT	yeast
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	SIT4-WT	-Inf	NA	0	yes	-9.45709634247482	0.0409694	0	0	1	2	1	2	3	3	WT	yeast
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	RAS21-WT	-0.0590932319926857	0.910227552659916	0.954693783833699	no	-0.0590932319926857	0.954693783833699	0	0	1	2	1	2	3	3	WT	yeast
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	SSY5-WT	-0.46507884628774	0.43946914389671	0.603806859650554	no	-0.46507884628774	0.603806859650554	0	0	1	2	1	2	3	3	WT	yeast
YAL035W	YAL035W	NA	NA	YAL035W	POP1-WT	-1.07536057457269	2.44631625845315e-06	0.000173828243850657	no	-1.07536057457269	0.000173828243850657	3	3	3	3	3	3	3	3	WT	yeast
YAL035W	YAL035W	NA	NA	YAL035W	IRA2-WT	-0.190823612321463	0.224770305721355	0.411741400870951	no	-0.190823612321463	0.411741400870951	3	3	3	3	3	3	3	3	WT	yeast
YAL035W	YAL035W	NA	NA	YAL035W	SAP155-WT	-1.38351508080446	9.24228298337937e-08	4.65387457725582e-06	no	-1.38351508080446	4.65387457725582e-06	3	3	3	3	3	3	3	3	WT	yeast
YAL035W	YAL035W	NA	NA	YAL035W	SIT4-WT	-0.317543553405431	0.0518102957210438	0.14983445210195	no	-0.317543553405431	0.14983445210195	3	3	3	3	3	3	3	3	WT	yeast
YAL035W	YAL035W	NA	NA	YAL035W	RAS21-WT	-0.634150999165892	0.000683572119152931	0.00876088348628654	no	-0.634150999165892	0.00876088348628654	3	3	3	3	3	3	3	3	WT	yeast
YAL035W	YAL035W	NA	NA	YAL035W	RAS22-WT	-1.15135513016234	1.03832105002866e-06	4.07378774472181e-05	no	-1.15135513016234	4.07378774472181e-05	3	3	3	3	3	3	3	3	WT	yeast
YAL035W	YAL035W	NA	NA	YAL035W	SSY5-WT	0.029861737819335	0.845840998920883	0.909616171179028	no	0.029861737819335	0.909616171179028	3	3	3	3	3	3	3	3	SSY5	yeast
YAL036C	YAL036C	NA	NA	YAL036C	IRA2-WT	-0.170108119210011	0.378555962412443	0.571582022454432	no	-0.170108119210011	0.571582022454432	3	3	3	3	3	3	3	3	WT	yeast
YAL036C	YAL036C	NA	NA	YAL036C	RAS22-WT	-1.32495648506519	2.72555065383706e-06	8.88812687244787e-05	no	-1.32495648506519	8.88812687244787e-05	3	3	3	3	3	3	3	3	WT	yeast
YAL036C	YAL036C	NA	NA	YAL036C	RAS21-WT	-0.953481303257546	0.000112234680448742	0.00247310102883543	no	-0.953481303257546	0.00247310102883543	3	3	3	3	3	3	3	3	WT	yeast
YAL036C	YAL036C	NA	NA	YAL036C	POP1-WT	-0.937570137573926	0.000133101952958681	0.00248312685340725	no	-0.937570137573926	0.00248312685340725	3	3	3	3	3	3	3	3	WT	yeast
YAL036C	YAL036C	NA	NA	YAL036C	SSY5-WT	-0.764542845889439	0.000890126573746208	0.0072369899937151	no	-0.764542845889439	0.0072369899937151	3	3	3	3	3	3	3	3	WT	yeast
YAL036C	YAL036C	NA	NA	YAL036C	SAP155-WT	-1.39001019072713	1.50077538441096e-06	3.86349037792921e-05	no	-1.39001019072713	3.86349037792921e-05	3	3	3	3	3	3	3	3	WT	yeast
YAL036C	YAL036C	NA	NA	YAL036C	SIT4-WT	-0.884704254610116	0.000235892752102451	0.00267516802275138	no	-0.884704254610116	0.00267516802275138	3	3	3	3	3	3	3	3	WT	yeast
YAL038W	YAL038W	NA	NA	YAL038W	SSY5-WT	-0.325705123101682	0.00549535703799586	0.028223068244522	no	-0.325705123101682	0.028223068244522	3	3	3	3	3	3	3	3	WT	yeast
YAL038W	YAL038W	NA	NA	YAL038W	POP1-WT	-0.354152164837704	0.00304486642360491	0.0206337405872082	no	-0.354152164837704	0.0206337405872082	3	3	3	3	3	3	3	3	WT	yeast
YAL038W	YAL038W	NA	NA	YAL038W	RAS21-WT	-0.104354580319002	0.319453398999873	0.518724588421255	no	-0.104354580319002	0.518724588421255	3	3	3	3	3	3	3	3	WT	yeast
YAL038W	YAL038W	NA	NA	YAL038W	IRA2-WT	-0.273188170409707	0.0160993708943518	0.0682095207898094	no	-0.273188170409707	0.0682095207898094	3	3	3	3	3	3	3	3	WT	yeast
YAL038W	YAL038W	NA	NA	YAL038W	RAS22-WT	-0.265613293786882	0.0187456044126062	0.0643747021188302	no	-0.265613293786882	0.0643747021188302	3	3	3	3	3	3	3	3	WT	yeast
YAL038W	YAL038W	NA	NA	YAL038W	SAP155-WT	-0.365104078260593	0.00242458017059333	0.00934642786654557	no	-0.365104078260593	0.00934642786654557	3	3	3	3	3	3	3	3	WT	yeast
YAL038W	YAL038W	NA	NA	YAL038W	SIT4-WT	-0.0383464943197122	0.710703434631522	0.835941831748144	no	-0.0383464943197122	0.835941831748144	3	3	3	3	3	3	3	3	WT	yeast
YAL039C	YAL039C	NA	NA	YAL039C	POP1-WT	-0.231780156920974	0.614214727621249	0.758466746571026	no	-0.231780156920974	0.758466746571026	3	0	2	3	3	3	2	3	WT	yeast
YAL039C	YAL039C	NA	NA	YAL039C	RAS22-WT	0.694428324410405	0.115179861152242	0.242631402142014	no	0.694428324410405	0.242631402142014	3	0	2	3	3	3	2	3	RAS22	yeast
YAL039C	YAL039C	NA	NA	YAL039C	IRA2-WT	-Inf	NA	0	yes	-9.51162469087407	0.0497991	3	0	2	3	3	3	2	3	WT	yeast
YAL039C	YAL039C	NA	NA	YAL039C	SIT4-WT	0.853962367185805	0.0587176687118829	0.162569067851556	no	0.853962367185805	0.162569067851556	3	0	2	3	3	3	2	3	SIT4	yeast
YAL039C	YAL039C	NA	NA	YAL039C	RAS21-WT	0.7554648382683	0.0894289032173623	0.231593200909293	no	0.7554648382683	0.231593200909293	3	0	2	3	3	3	2	3	RAS21	yeast
YAL039C	YAL039C	NA	NA	YAL039C	SAP155-WT	-0.678316674483973	0.122996614905809	0.211739899022322	no	-0.678316674483973	0.211739899022322	3	0	2	3	3	3	2	3	WT	yeast
YAL039C	YAL039C	NA	NA	YAL039C	SSY5-WT	-0.522876583074458	0.225125484531751	0.401595797730645	no	-0.522876583074458	0.401595797730645	3	0	2	3	3	3	2	3	WT	yeast
YAL041W	YAL041W	NA	NA	YAL041W	SSY5-WT	-Inf	NA	0	yes	-8.62051825560681	0.0483989	1	0	0	0	1	0	2	2	WT	yeast
