Protein	Gene	ProteinName	EntrezID	ProteinCopy	IRA2.WT_log2FC	IRA2.WT_adj.pvalue	RAS21.WT_log2FC	RAS21.WT_adj.pvalue	RAS22.WT_log2FC	RAS22.WT_adj.pvalue	POP1.WT_log2FC	POP1.WT_adj.pvalue	SIT4.WT_log2FC	SIT4.WT_adj.pvalue	SAP155.WT_log2FC	SAP155.WT_adj.pvalue	SSY5.WT_log2FC	SSY5.WT_adj.pvalue	NumBR_SIT4	NumBR_IRA2	NumBR_POP1	NumBR_RAS22	NumBR_SAP155	NumBR_SSY5	NumBR_WT	NumBR_RAS21
YAL036C	YAL036C	NA	NA	YAL036C	-0.170108119210011	0.571582022454432	-0.953481303257546	0.00247310102883543	-1.32495648506519	8.88812687244787e-05	-0.937570137573926	0.00248312685340725	-0.884704254610116	0.00267516802275138	-1.39001019072713	3.86349037792921e-05	-0.764542845889439	0.0072369899937151	3	3	3	3	3	3	3	3
YAL038W	YAL038W	NA	NA	YAL038W	-0.273188170409707	0.0682095207898094	-0.104354580319002	0.518724588421255	-0.265613293786882	0.0643747021188302	-0.354152164837704	0.0206337405872082	-0.0383464943197122	0.835941831748144	-0.365104078260593	0.00934642786654557	-0.325705123101682	0.028223068244522	3	3	3	3	3	3	3	3
YAL039C	YAL039C	NA	NA	YAL039C	-Inf	0	0.7554648382683	0.231593200909293	0.694428324410405	0.242631402142014	-0.231780156920974	0.758466746571026	0.853962367185805	0.162569067851556	-0.678316674483973	0.211739899022322	-0.522876583074458	0.401595797730645	3	0	2	3	3	3	2	3
YAL041W	YAL041W	NA	NA	YAL041W	-Inf	0	-1.3567313932826	0.133762687902715	-Inf	0	-Inf	0	-1.56275868316217	0.135407691396365	-1.32749075093203	0.121409587179096	-Inf	0	1	0	0	0	1	0	2	2
YAL042W	YAL042W	NA	NA	YAL042W	0.515432753801676	0.607592604981544	0.511575793063607	0.618543477920584	-0.605476129984834	0.520017496730396	-1.22865553360961	0.173932822595201	0.430104047842005	0.68486936299558	-0.455046994271633	0.60139339084532	-0.335779322521689	0.739926673882431	3	3	3	3	3	3	3	3
YAL043C	YAL043C	NA	NA	YAL043C	1.390729573558	0.290211224174111	0.598103693294797	0.670261074475652	0.589619465389117	0.649110121627915	0.635280803318402	0.603404052629566	-0.289940238923909	0.869061305228179	-Inf	0	1.59620391747744	0.224954553709597	1	2	3	2	0	2	1	2
YAL044C	YAL044C	NA	NA	YAL044C	-1.0096280055516	0.000263084397393124	-0.957697317814244	0.000721474624393466	-0.0279790749962586	0.918525549199165	1.0035930864017	0.000376753032562141	-0.460523841061769	0.043462710764136	0.19256166725791	0.352163211634304	-0.719807422763343	0.00329335173935193	3	3	3	3	3	3	3	3
YAL044W-A	YAL044W-A	NA	NA	YAL044W-A	-1.00767990935319	0.468894221587374	0.107050267826458	0.945158288529017	0.067236783847761	0.965973027137587	-0.539749087025953	0.670836611535635	0.160864067031255	0.919618950403356	-0.707435569528545	0.56399241200481	-0.644298781056906	0.59801822394507	3	2	3	3	2	3	3	3
YAL046C	YAL046C	NA	NA	YAL046C	-1.08947740251618	0.154610162172654	-0.512235973456131	0.572846244596732	0.458826253619732	0.551084441722072	-0.36112706722369	0.656932552780951	0.80477053614633	0.294286783838901	-0.107816054536522	0.889593155386685	-0.52770600640614	0.499891174822757	3	3	3	3	3	3	2	2
YAL049C	YAL049C	NA	NA	YAL049C	-1.74526435776763	0.06890873532987	-0.68497869552689	0.50763621829932	-0.783640445029551	0.409733068845327	-1.79987720761008	0.0577405010773244	0.000188694558747704	0.999772332321621	-1.00625706744013	0.236778387183725	-1.71640339586948	0.0677246715684844	3	3	3	3	3	3	3	3
YAL053W	YAL053W	NA	NA	YAL053W	0.0297610022133564	0.978499745490115	0.720605001769093	0.323784475310742	1.22026295633684	0.0805966610431105	-0.0685154219892755	0.957419055579378	0.458059313290436	0.580673335834095	0.647243832221026	0.4424207396462	0.373228458408576	0.602363536434672	2	2	1	3	1	3	2	3
YAL059W	YAL059W	NA	NA	YAL059W	-0.690748137820703	0.439125771777268	-0.450858233264094	0.634163174174839	-0.90204072911393	0.269793591470693	-0.535734052197816	0.540758653609231	-0.101715364789809	0.927974945116394	-1.43120626160256	0.0566901953694277	0.15598708295593	0.872672660536375	3	3	3	3	3	3	3	3
YAL060W	YAL060W	NA	NA	YAL060W	-1.42616670084789	0.035655874949518	-1.32643942599683	0.0589151842495394	0.0872746176779537	0.912556123617567	0.329674841038529	0.650664540425475	2.42902849869929	0.0010886244845254	1.30345992865541	0.0321162389079517	-1.42911669781913	0.0323453509666264	3	3	3	3	3	3	3	3
YAL061W	YAL061W	NA	NA	YAL061W	NA	NA	NA	NA	Inf	0	NA	NA	Inf	0	NA	NA	Inf	0	1	0	0	3	0	1	0	0
YAR002C-A	YAR002C-A	NA	NA	YAR002C-A	0.0665647220605261	0.913415415921123	-0.0493609877320523	0.939700467498061	-0.451920318522894	0.330372392023215	-1.04906963129935	0.0289943615421543	-0.825039750016774	0.079776396127368	-0.899536036798646	0.0353365274750464	0.335952158866351	0.496765367373401	3	3	3	3	3	3	3	3
YAR002W	YAR002W	NA	NA	YAR002W	-1.19204615170828	0.0331365632600674	-1.00503181556051	0.0792028343677726	-1.33467759869361	0.0155401874044687	-0.868515829235911	0.112298185160087	-1.57584866158054	0.006176702930339	-1.75743437547417	0.00158118151513957	-1.96958429497449	0.00132368170892451	3	3	3	3	3	3	3	3
YAR007C	YAR007C	NA	NA	YAR007C	-0.787494231614118	0.0146952184327922	-0.296673006435347	0.370208644470166	-0.468082673515069	0.119762367767521	-0.630302589251733	0.0444738600926673	-0.529902811262549	0.0884511659637836	-1.20422526846553	0.000362887883397837	-1.02892944334482	0.00242515116746648	3	3	3	3	3	3	3	3
YAR014C	YAR014C	NA	NA	YAR014C	-0.0239513384817636	0.976655676447252	-0.404242756303213	0.567599835271635	-0.320212766649381	0.592429861948483	-0.096008196687625	0.895235021184962	-0.229486685907226	0.767321353711269	-0.597661249184028	0.243097529977042	0.0488516297590932	0.944455087109239	2	3	3	3	3	2	3	2
YAR015W	YAR015W	NA	NA	YAR015W	-0.33900159561684	0.345522873249614	0.265082803149961	0.481516320372927	-0.175577116744867	0.632058063955362	0.330850349465701	0.350886429973707	-0.653389061956551	0.0585527526032056	-0.0322770427297575	0.9326275866643	0.352283826672032	0.317706567345309	3	3	3	3	3	3	3	3
YAR042W	YAR042W	NA	NA	YAR042W	-0.714928535699704	0.25543558524661	-0.10473116961339	0.883750797399911	-0.378411624253334	0.501760766100677	-0.252932282502914	0.672508683057796	1.21902338861628	0.028087772352039	-0.131430582220083	0.817058386567877	-0.6200472196233	0.262530173886891	3	2	3	3	3	3	3	3
YBL001C	YBL001C	NA	NA	YBL001C	-2.42202757779263	0.010842149345196	-1.00710648052932	0.288988331629161	-0.906345591262991	0.306337618355508	-0.830102658076032	0.372025873714457	0.221827626810187	0.844708447571773	-1.39217890742	0.0851130292192653	-2.74201111855605	0.00433345539253375	3	3	3	3	3	3	3	3
YBL004W	YBL004W	NA	NA	YBL004W	-0.680418999863811	0.594726042206429	-1.03003094124174	0.408179667428451	-0.104763165617845	0.941671808455502	0.4513707290559	0.73126493343403	1.01614148080734	0.406042361263945	-0.539475195593631	0.629728305603343	-0.53167519650019	0.666460860904591	3	3	3	3	3	3	3	3
YBL006C	YBL006C	NA	NA	YBL006C	-0.88617793049025	0.481873419738281	-0.103679154650264	0.939323478113107	-1.04915331248609	0.381463250696372	-1.00873438130177	0.351566010968086	-0.737668781886294	0.505640940903832	-0.584165387756624	0.591104549764169	-0.527744693444746	0.610710946048792	2	1	2	1	1	2	1	2
YBL007C	YBL007C	NA	NA	YBL007C	-1.30891602136867	0.000123733349320254	-1.06893687453443	0.0010258262057664	-0.445163570954916	0.0910732040536983	-0.576931472594507	0.0372091290105392	-0.818643559539852	0.00456681847510402	-0.797101555092973	0.00300985588823025	-1.04377523579171	0.000822622699243158	3	3	3	3	3	3	3	3
YBL015W	YBL015W	NA	NA	YBL015W	-1.38123214001814	0.0353527470221997	-0.878081307595671	0.186966990425138	1.45466494867325	0.0233976726360863	0.416573003885221	0.537081145930542	4.24823907968025	3.05698382363495e-06	2.1961552353435	0.00104043755038208	-0.777873366495759	0.234860521438302	3	3	3	3	3	3	3	3
YBL016W	YBL016W	NA	NA	YBL016W	-Inf	0	-Inf	0	-Inf	0	-Inf	0	-Inf	0	-Inf	0	0.26486119254838	0.875797984318643	0	0	0	0	0	1	2	0
YBL017C	YBL017C	NA	NA	YBL017C	-0.844668107913433	0.25641041059656	-0.326308781086974	0.702883681704186	-0.390511415946242	0.60894815443634	-0.108087699497805	0.907604979443118	0.256737659769389	0.772242306464539	-1.56957221487857	0.0196440500926791	-0.786794206885361	0.282301993023066	3	3	3	3	3	3	3	3
YBL018C	YBL018C	NA	NA	YBL018C	0.818295196745309	NA	-0.384319167689373	NA	-Inf	0	-0.697312197864455	NA	-Inf	0	-Inf	0	-Inf	0	0	1	1	0	0	0	1	1
YBL019W	YBL019W	NA	NA	YBL019W	1.13099350508496	0.0119691139816051	0.239093362345259	0.648513080116329	-0.00733499059141107	0.988744740950315	0.0231282400146471	0.969945403132216	-0.28062481793914	0.543928243528353	-0.391549196357744	0.302875543906636	0.209028349991906	0.636828669026158	3	3	3	3	3	3	2	2
YBL022C	YBL022C	NA	NA	YBL022C	-0.983457979180123	0.0882326065533541	-0.385251658622029	0.540680918453516	-0.250270301405538	0.682323568733871	-0.401890599692542	0.499189360310802	0.864112785857629	0.129535554423771	-1.05696400473902	0.0404472761573013	-0.710088006505084	0.216638342765459	3	3	3	3	3	3	3	3
YBL023C	YBL023C	NA	NA	YBL023C	-0.244626493787316	0.76126263745347	-0.457636716836719	0.637521149337344	-0.481928017973862	0.514033617497938	-0.370815719752437	0.620733475689029	0.172009280051485	0.871874019485981	-Inf	0	-0.598394424989808	0.514548697673006	1	2	2	2	0	1	2	1
YBL024W	YBL024W	NA	NA	YBL024W	0.0662085366672257	0.812428447291797	-0.440227830436466	0.070090671655832	-0.755383931540136	0.00225097440247313	-0.860971462972098	0.00138201390999047	-0.801400201960987	0.0016832709976581	-1.28517720756477	1.79535450767178e-05	-0.0893930703959238	0.727771781651332	3	3	3	3	3	3	3	3
YBL026W	YBL026W	NA	NA	YBL026W	-0.422565564463202	0.473010512363108	-0.599138483288802	0.298204018587807	-0.668441368862562	0.209626346584549	-1.11694262733796	0.0434933896898184	-1.2044816991401	0.0293413406979736	-1.11836003089949	0.0260183212220088	-0.481115003085231	0.395518626445106	3	3	3	3	3	3	3	3
YBL028C	YBL028C	NA	NA	YBL028C	0.283749802500689	0.684937955075452	-0.714529416463345	0.269979042406885	-0.959241327201246	0.155163891322983	-0.85523923078971	0.166510736460334	-1.15400640658592	0.0666752370758043	-1.04802844978155	0.182930719409492	0.281421491022362	0.666460860904591	3	3	3	2	1	3	3	3
YBL029C-A	YBL029C-A	NA	NA	YBL029C-A	1.97569874279747	0.162496164915226	-Inf	0	1.26413713935048	0.244304945031478	1.86647938115982	0.112298185160087	-Inf	0	1.56595722272534	0.178746020030931	0.180488423256921	0.872672660536375	0	1	3	2	1	2	1	0
YBL030C	YBL030C	NA	NA	YBL030C	-1.04786722759973	2.67939981257419e-05	-0.991370880857301	7.92692215202351e-05	-0.506739869481439	0.00741975718611219	-0.565309095711842	0.00518169323513304	1.83760447064273	2.95418673597799e-08	-0.262750563341505	0.113732157550617	-0.578450313801711	0.00358521943010065	3	3	3	3	3	3	3	3
YBL032W	YBL032W	NA	NA	YBL032W	-0.552797657897947	0.217849123051826	-0.224285500948422	0.654369040122723	-0.461716693594218	0.278954236651425	-0.288759351860249	0.525662319445221	-0.652430929396334	0.134944761666125	-0.721696768683489	0.0649343220353107	-1.39931517408987	0.00296604571431117	3	3	3	3	3	3	3	3
YBL033C	YBL033C	NA	NA	YBL033C	-1.36326785759239	0.0717848893585532	-1.60497345906869	0.0437769389059083	-1.01991590552015	0.114993792254517	-0.198630463202579	0.796980734081268	0.761800808155731	0.260466937951055	-0.667835930975331	0.262700506801817	-1.15675536389537	0.0803226145731661	3	2	3	3	3	3	3	2
YBL035C	YBL035C	NA	NA	YBL035C	-0.46205814379014	0.481873419738281	-0.647549351715943	0.32370617620831	-0.908129147367547	0.187322362198415	-1.36610097976082	0.13208796856434	-0.431238529429245	0.569509026374501	-1.60737232409729	0.0557140292888488	-Inf	0	2	3	1	2	1	0	3	3
YBL036C	YBL036C	NA	NA	YBL036C	-1.05711653046496	0.00437902107789836	-0.584135583084982	0.0986064369668163	-0.819553093949234	0.0174281772003752	-0.366053127656316	0.290955963313337	-0.59943835136603	0.0821835065095899	-1.38128972561828	0.000277825558596038	-0.431275714004938	0.214373948607645	3	3	3	3	3	3	3	3
YBL038W	YBL038W	NA	NA	YBL038W	NA	NA	Inf	0	Inf	0	NA	NA	NA	NA	Inf	0	Inf	0	0	0	0	1	1	1	0	1
YBL039C	YBL039C	NA	NA	YBL039C	0.379915381827682	0.11221476163396	-0.236807735269084	0.342027340486912	-0.905465142242135	0.000628744294389551	-0.786362821650632	0.00297263760739846	-0.758056748214295	0.0027730505259209	-1.33350568960878	1.41595798404739e-05	0.124351380290403	0.614650483481088	3	3	3	3	3	3	3	3
YBL041W	YBL041W	NA	NA	YBL041W	-0.385969172285581	0.307018741717102	-0.337143899946158	0.385970802674533	-0.532734440449528	0.130914564230527	-0.564908169073886	0.119687060243463	-0.407178828089661	0.277344610983291	-0.695025602224938	0.0363073608841826	-0.247702844302214	0.520254833799718	3	3	3	3	3	3	3	3
YBL045C	YBL045C	NA	NA	YBL045C	-1.84664772818581	4.3359178693846e-06	-1.32607703977303	0.000233037666857887	0.399881783973514	0.134338852685963	-0.564164485226015	0.0434050290287831	2.26345609737351	2.28976938683349e-07	0.491500341723533	0.0491400093158317	-1.79252797442553	5.91095311364143e-06	3	3	3	3	3	3	3	3
YBL046W	YBL046W	NA	NA	YBL046W	1.0165942769396	0.0759025210495805	-1.85920155652704	0.0114977660899732	-2.08660312636653	0.0134731222408616	0.537638621617964	0.372414666883341	-Inf	0	-Inf	0	-0.76223249213391	0.145268890934311	0	2	1	1	0	2	2	3
YBL047C	YBL047C	NA	NA	YBL047C	-1.34894678184419	2.61181215327151e-05	-0.985097318008039	0.000743426570891259	-0.15902980666393	0.517400126086303	-0.695074229277336	0.00687849071928383	-0.0220914932370357	0.945381206232853	-0.773079177414951	0.00142556331238344	-1.21615650091901	5.71698679093038e-05	3	3	3	3	3	3	3	3
YBL050W	YBL050W	NA	NA	YBL050W	-0.503463624244379	0.0870198036963963	-0.217700735615955	0.48912116429075	0.00658268518029015	0.985443139780766	-0.193427326940672	0.523498879497897	0.0550747453552941	0.883858323468758	0.108550582976798	0.704250540859687	-0.32583739611821	0.267383543136655	3	3	3	3	3	3	3	3
YBL051C	YBL051C	NA	NA	YBL051C	-0.778098000544377	0.0882326065533541	-0.348022892123036	0.477503077085954	-0.581100128708892	0.183457375564323	-0.657168261022754	0.140831107522392	0.636858198253289	0.157708164572061	0.604587830271316	0.133313755414922	-0.680719019191161	0.128149143062453	3	3	3	3	3	3	3	3
YBL055C	YBL055C	NA	NA	YBL055C	0.507985967327976	0.532319264182558	-0.70431928859533	0.432284910692035	-1.12817777872092	0.119762367767521	-0.157677482643897	0.880124741761981	-0.0101699325177443	0.994591521606649	-1.00073858885196	0.134271155386737	0.0342588413566365	0.96506379221738	3	3	2	3	3	3	3	2
YBL056W	YBL056W	NA	NA	YBL056W	-1.28266387754676	0.0256838085807154	-0.994266579346438	0.0859673575438152	-0.493658444616324	0.374384827802086	-0.717687744826089	0.195479864974089	0.0870503359957508	0.90783725094146	-0.871628022629906	0.0811379473371392	-0.671770493514892	0.235724753251969	3	3	3	3	3	3	3	3
YBL057C	YBL057C	NA	NA	YBL057C	0.698260474475544	0.586575957932975	-0.129313374940136	0.938537957485083	-0.124365144143005	0.929532049646219	0.140803974857358	0.927513542059325	0.261773714591078	0.859863993042131	-0.619032752513735	0.618568432761433	0.33928724505327	0.797526758829059	3	3	3	3	2	3	3	3
YBL058W	YBL058W	NA	NA	YBL058W	-0.751794479719571	0.00192685074755646	-0.818772181484316	0.00142457433423122	-0.347928987158368	0.0994126862398961	-0.543196242869174	0.0170092017992102	-0.364011244703709	0.0949158855745428	-0.707097459920527	0.00144905272067533	-0.834222592707839	0.000822622699243158	3	3	3	3	3	3	3	3
YBL059C-A	YBL059C-A	NA	NA	YBL059C-A	-Inf	0	-Inf	0	0.0803080849935354	0.904263575931586	-0.708813467046886	0.231543177166296	0.723174206798012	0.179331647313249	-0.464245696471167	0.373930239607904	-1.08895185828314	0.150938090574332	3	0	2	2	2	1	3	0
YBL061C	YBL061C	NA	NA	YBL061C	-Inf	0	-0.111547457919027	0.743831018651725	-2.48815598288701	0.000204864123549674	-2.16313333937736	0.000804722163260122	-0.328238377716138	0.296766981806765	-1.57603449524186	0.0011994471103837	-1.32463379875371	0.00788532110954394	2	0	2	3	2	1	1	2
YBL064C	YBL064C	NA	NA	YBL064C	-1.16318695086684	0.000905145926086703	-0.16213131124224	0.637521149337344	1.72509479939472	1.67324797456856e-05	0.0314938183928151	0.939539235340788	2.25407614977659	7.44284216580929e-07	1.58762886807702	2.88690853786806e-05	-0.786789456456654	0.0113157315848046	3	3	3	3	3	3	3	3
YBL068W	YBL068W	NA	NA	YBL068W	-0.650993860136041	0.261294823788305	-0.78325317722	0.133762687902715	-1.44627252942516	0.013752557291186	-1.07565291820775	0.0397096890160967	-0.852703680396309	0.0953731612101722	-1.05550613039373	0.0255844417466823	-0.454525663559895	0.433137041350535	3	2	3	2	3	2	3	3
YBL069W	YBL069W	NA	NA	YBL069W	-0.390177654771805	0.354667939617016	-0.893278612206117	0.0437769389059083	-0.161613244643126	0.739153741723007	-0.0308883020903225	0.957174600875974	-0.700652594035553	0.0895317834909283	0.196913196460988	0.650502253483046	-1.0280969156371	0.0754458694562895	3	3	3	2	2	1	3	3
YBL075C	YBL075C	NA	NA	YBL075C	-Inf	0	-Inf	0	1.41206231572668	0.0531113623596505	-Inf	0	0.72568514517137	0.287712050786752	0.688733902812308	0.244468563797374	-Inf	0	3	0	0	3	3	0	1	0
YBL076C	YBL076C	NA	NA	YBL076C	-0.024050337109538	0.922036399434914	-0.309445738628432	0.104395394610838	-1.18908201291729	4.93428490466741e-06	-0.573986261005581	0.00459336378020658	-0.387088779014347	0.0379762616207698	-1.13546948597701	5.81170899636971e-06	0.183641730823323	0.333188813391372	3	3	3	3	3	3	3	3
YBL078C	YBL078C	NA	NA	YBL078C	NA	NA	NA	NA	Inf	0	NA	NA	Inf	0	Inf	0	Inf	0	2	0	0	3	2	1	0	0
YBL079W	YBL079W	NA	NA	YBL079W	-Inf	0	-0.0987231690720177	0.88634513927533	-0.15694797152468	0.784417437152671	-0.204426614284709	0.73126493343403	0.0889020917423324	0.899038246652691	-0.282666937957608	0.700301473407374	1.98328270847495	0.0175204379191313	3	0	3	3	1	1	3	3
YBL085W	YBL085W	NA	NA	YBL085W	0.181935192778514	0.860159026318305	-0.748430918269025	0.403184663709619	-1.01080993551667	0.272180028749046	-0.746699512282876	0.387569991813179	0.0356081267951233	0.980010388156014	-0.741311155830266	0.387841563482038	-0.869931960121035	0.36827848972513	2	3	3	2	2	2	3	3
YBL090W	YBL090W	NA	NA	YBL090W	-1.1360841685952	0.482227811624786	-0.198739959514253	0.918250899467489	-1.72395249155587	0.272180028749046	-1.27807222533546	0.419294089603355	-1.22697679904034	0.316171609575691	-1.29792914759968	0.263700782102397	-2.09559262254559	0.21625057712045	3	1	1	1	2	1	2	1
YBL091C	YBL091C	NA	NA	YBL091C	-0.459348602737737	0.15123418809847	-0.536306025422832	0.0960047493073636	-0.473518833860035	0.11826109730711	-0.465775645610216	0.133711418795459	-0.955875135064174	0.00401020710393494	-0.730099646612378	0.0130364719244791	-0.495850484368057	0.109787765847756	3	3	3	3	3	3	3	3
YBL092W	YBL092W	NA	NA	YBL092W	0.381855648493071	0.133006245646218	-0.023272721146739	0.944891184206507	0.0245180076635911	0.936072664519098	-0.168568384497554	0.51908831972086	-0.0716011234905168	0.821661380362683	-0.0454339765666854	0.86375203866109	0.397050566310199	0.108827705100739	3	3	3	3	3	3	3	3
YBL098W	YBL098W	NA	NA	YBL098W	-0.266739455084345	0.874741150163299	-Inf	0	-Inf	0	0.639803383511015	0.723240257727793	-Inf	0	0.0889153596719013	0.953691126301143	-Inf	0	0	2	1	0	2	0	1	0
YBL099W	YBL099W	NA	NA	YBL099W	-1.11384536659614	0.00455267182271706	-0.568174896264814	0.129139330229062	0.487185009728303	0.167805495806335	-0.240392891452464	0.527938366682161	2.23605344484151	6.99163338602204e-06	0.829956277210845	0.0152459276126695	-1.03587935078548	0.00658611389068118	3	3	3	3	3	3	3	3
YBL101C	YBL101C	NA	NA	YBL101C	-Inf	0	0.0250543412028889	0.977849944161189	-0.136553734761875	0.864959326142574	-0.310641187741176	0.692565611196931	-0.307100259471005	0.71233316164691	-0.356996088390581	0.652219651984666	-0.446302777818477	0.607192665512166	2	0	2	2	1	1	1	2
YBL102W	YBL102W	NA	NA	YBL102W	-Inf	0	0.445112473623096	0.544806906010864	0.518995788481368	0.497474577726373	0.383414095301148	0.586856789485318	0.801062248140461	0.239225981400156	0.41140405741205	0.557408016410219	1.35784060811042	0.0466958140188627	3	0	3	2	2	3	3	3
