Protein	Gene	ProteinName	EntrezID	ProteinCopy	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
YAL005C	YAL005C	NA	NA	YAL005C	POP1-WT	-0.439001711094874	0.131057410979777	-3.34969009240243	16	0.00406994811716688	0.0250543588301832	NA	0.370967741935484	0.338709677419355
YAL005C	YAL005C	NA	NA	YAL005C	SAP155-WT	0.396310955824001	0.131057410979777	3.0239492208888	16	0.00806606542114396	0.0239799263504366	NA	0.295698924731183	0.263440860215054
YAL005C	YAL005C	NA	NA	YAL005C	RAS21-WT	-0.089630501701554	0.131057410979777	-0.683902581559346	16	0.503822091474778	0.690830291367163	NA	0.327956989247312	0.295698924731183
YAL007C	YAL007C	NA	NA	YAL007C	RAS22-WT	-0.696966982260767	0.63536543556064	-1.09695451350099	6	0.31472371385054	0.489029236063556	NA	0.833333333333333	0.333333333333333
YAL007C	YAL007C	NA	NA	YAL007C	IRA2-WT	-0.381001676800238	0.63536543556064	-0.599657544266705	6	0.570670071354924	0.735166126808526	NA	0.833333333333333	0.333333333333333
YAL007C	YAL007C	NA	NA	YAL007C	POP1-WT	-0.236500859147009	0.518773705774918	-0.455884437692801	6	0.664507538494617	0.794920916504251	NA	0.722222222222222	0.388888888888889
YAL007C	YAL007C	NA	NA	YAL007C	SAP155-WT	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.888888888888889	0.222222222222222
YAL007C	YAL007C	NA	NA	YAL007C	SIT4-WT	-0.782023065075423	0.63536543556064	-1.23082406014953	6	0.264446084221159	0.457670115260441	NA	0.833333333333333	0.333333333333333
YAL007C	YAL007C	NA	NA	YAL007C	RAS21-WT	-0.066940633935491	0.473573434822451	-0.141352172679593	6	0.892218267596311	0.944480526001657	NA	0.722222222222222	0.555555555555556
YAL007C	YAL007C	NA	NA	YAL007C	SSY5-WT	0.600384641118761	0.473573434822451	1.26777516847805	6	0.251853202185013	0.428848430509972	NA	0.611111111111111	0.444444444444444
YAL012W	YAL012W	NA	NA	YAL012W	RAS22-WT	-0.276101229544268	0.141502052484517	-1.95121713569829	16	0.0687661875953018	0.166432832870292	NA	0.260416666666667	0.260416666666667
