RUN	Protein	LogIntensities	NumMeasuredFeature	MissingPercentage	more50missing	NumImputedFeature	originalRUN	GROUP	GROUP_ORIGINAL	SUBJECT_ORIGINAL	SUBJECT_NESTED	SUBJECT
16	YAL003W	28.2031562811954	21	0.32258064516129	FALSE	10	19	6	SIT4	SIT4-1	6.19	19
17	YAL003W	28.3670222049434	24	0.225806451612903	FALSE	7	20	6	SIT4	SIT4-2	6.20	20
18	YAL003W	28.8041171313515	25	0.193548387096774	FALSE	6	21	6	SIT4	SIT4-3	6.21	21
19	YAL003W	28.9392245197193	27	0.129032258064516	FALSE	4	13	7	SSY5	SSY5-1	7.13	13
20	YAL003W	28.677523832358	24	0.225806451612903	FALSE	7	14	7	SSY5	SSY5-2	7.14	14
21	YAL003W	28.7632265770441	26	0.161290322580645	FALSE	5	15	7	SSY5	SSY5-3	7.15	15
22	YAL003W	29.1576844267922	26	0.161290322580645	FALSE	5	1	8	WT	WT-1	8.1	1
23	YAL003W	29.292534828613	25	0.193548387096774	FALSE	6	2	8	WT	WT-2	8.2	2
24	YAL003W	28.622267165728	24	0.225806451612903	FALSE	7	3	8	WT	WT-3	8.3	3
1	YAL005C	26.3550717629768	18	0.4	FALSE	12	4	1	IRA2	IRA2-1	1.4	4
2	YAL005C	26.084684000759	13	0.566666666666667	TRUE	17	5	1	IRA2	IRA2-2	1.5	5
3	YAL005C	26.4187061523051	18	0.4	FALSE	12	6	1	IRA2	IRA2-3	1.6	6
4	YAL005C	26.9195720734429	19	0.366666666666667	FALSE	11	16	2	POP1	POP1-1	2.16	16
5	YAL005C	27.0962074568604	19	0.366666666666667	FALSE	11	17	2	POP1	POP1-2	2.17	17
6	YAL005C	27.082370719763	19	0.366666666666667	FALSE	11	18	2	POP1	POP1-3	2.18	18
7	YAL005C	27.2765797099587	21	0.3	FALSE	9	7	3	RAS21	RAS21-1	3.7	7
8	YAL005C	27.5993593712911	24	0.2	FALSE	6	8	3	RAS21	RAS21-2	3.8	8
9	YAL005C	27.2703247969965	20	0.333333333333333	FALSE	10	9	3	RAS21	RAS21-3	3.9	9
10	YAL005C	28.1142337508242	25	0.166666666666667	FALSE	5	10	4	RAS22	RAS22-1	4.10	10
11	YAL005C	28.0490429014216	23	0.233333333333333	FALSE	7	11	4	RAS22	RAS22-2	4.11	11
12	YAL005C	28.1806625774552	25	0.166666666666667	FALSE	5	12	4	RAS22	RAS22-3	4.12	12
13	YAL005C	27.7961006355069	23	0.233333333333333	FALSE	7	22	5	SAP155	SAP155-1	5.22	22
14	YAL005C	27.94355125343	24	0.2	FALSE	6	23	5	SAP155	SAP155-2	5.23	23
15	YAL005C	27.864436361886	24	0.2	FALSE	6	24	5	SAP155	SAP155-3	5.24	24
16	YAL005C	28.3341990796082	27	0.1	FALSE	3	19	6	SIT4	SIT4-1	6.19	19
17	YAL005C	28.4395810830494	27	0.1	FALSE	3	20	6	SIT4	SIT4-2	6.20	20
18	YAL005C	28.3505944869716	25	0.166666666666667	FALSE	5	21	6	SIT4	SIT4-3	6.21	21
19	YAL005C	26.1521617501392	16	0.466666666666667	FALSE	14	13	7	SSY5	SSY5-1	7.13	13
20	YAL005C	26.4188974037155	18	0.4	FALSE	12	14	7	SSY5	SSY5-2	7.14	14
21	YAL005C	26.5649222896661	20	0.333333333333333	FALSE	10	15	7	SSY5	SSY5-3	7.15	15
22	YAL005C	27.7602089396504	22	0.266666666666667	FALSE	8	1	8	WT	WT-1	8.1	1
23	YAL005C	27.429329685529	19	0.366666666666667	FALSE	11	2	8	WT	WT-2	8.2	2
24	YAL005C	27.2256167581715	19	0.366666666666667	FALSE	11	3	8	WT	WT-3	8.3	3
3	YAL007C	25.158435079019	1	0.666666666666667	TRUE	2	6	1	IRA2	IRA2-3	1.6	6
5	YAL007C	25.9158636690718	2	0.333333333333333	FALSE	1	17	2	POP1	POP1-2	2.17	17
6	YAL007C	24.6900081242727	1	0.666666666666667	TRUE	2	18	2	POP1	POP1-3	2.18	18
7	YAL007C	25.2929497501939	1	0.666666666666667	TRUE	2	7	3	RAS21	RAS21-1	3.7	7
8	YAL007C	25.618295904517	1	0.666666666666667	TRUE	2	8	3	RAS21	RAS21-2	3.8	8
9	YAL007C	25.5062427109404	1	0.666666666666667	TRUE	2	9	3	RAS21	RAS21-3	3.9	9
11	YAL007C	24.8424697735585	1	0.666666666666667	TRUE	2	11	4	RAS22	RAS22-2	4.11	11
16	YAL007C	24.7574136907438	1	0.666666666666667	TRUE	2	19	6	SIT4	SIT4-1	6.19	19
19	YAL007C	26.6151590918524	2	0.333333333333333	FALSE	1	13	7	SSY5	SSY5-1	7.13	13
20	YAL007C	26.3169094659669	2	0.333333333333333	FALSE	1	14	7	SSY5	SSY5-2	7.14	14
21	YAL007C	25.4873956329948	1	0.666666666666667	TRUE	2	15	7	SSY5	SSY5-3	7.15	15
23	YAL007C	25.2886407788462	1	0.666666666666667	TRUE	2	2	8	WT	WT-2	8.2	2
24	YAL007C	25.7902327327923	1	0.666666666666667	TRUE	2	3	8	WT	WT-3	8.3	3
1	YAL012W	28.6128211635425	27	0.15625	FALSE	5	4	1	IRA2	IRA2-1	1.4	4
2	YAL012W	28.1952667982638	23	0.28125	FALSE	9	5	1	IRA2	IRA2-2	1.5	5
3	YAL012W	28.5750215658819	27	0.15625	FALSE	5	6	1	IRA2	IRA2-3	1.6	6
4	YAL012W	28.0922883804399	26	0.1875	FALSE	6	16	2	POP1	POP1-1	2.16	16
5	YAL012W	28.1098846194088	23	0.28125	FALSE	9	17	2	POP1	POP1-2	2.17	17
6	YAL012W	27.8406514124006	20	0.375	FALSE	12	18	2	POP1	POP1-3	2.18	18
7	YAL012W	28.7267785806577	27	0.15625	FALSE	5	7	3	RAS21	RAS21-1	3.7	7
8	YAL012W	28.2981825571584	22	0.3125	FALSE	10	8	3	RAS21	RAS21-2	3.8	8
9	YAL012W	28.6064342725223	25	0.21875	FALSE	7	9	3	RAS21	RAS21-3	3.9	9
10	YAL012W	28.2917159210075	23	0.28125	FALSE	9	10	4	RAS22	RAS22-1	4.10	10
11	YAL012W	28.5051786925135	25	0.21875	FALSE	7	11	4	RAS22	RAS22-2	4.11	11
12	YAL012W	28.1978358794354	24	0.25	FALSE	8	12	4	RAS22	RAS22-3	4.12	12
13	YAL012W	28.0380604616715	25	0.21875	FALSE	7	22	5	SAP155	SAP155-1	5.22	22
14	YAL012W	28.3369431733178	27	0.15625	FALSE	5	23	5	SAP155	SAP155-2	5.23	23
15	YAL012W	28.1642115275368	23	0.28125	FALSE	9	24	5	SAP155	SAP155-3	5.24	24
16	YAL012W	28.60278103053	25	0.21875	FALSE	7	19	6	SIT4	SIT4-1	6.19	19
17	YAL012W	28.6225552210926	25	0.21875	FALSE	7	20	6	SIT4	SIT4-2	6.20	20
18	YAL012W	28.7842941469526	25	0.21875	FALSE	7	21	6	SIT4	SIT4-3	6.21	21
19	YAL012W	28.8056894184026	25	0.21875	FALSE	7	13	7	SSY5	SSY5-1	7.13	13
20	YAL012W	28.8755839121618	26	0.1875	FALSE	6	14	7	SSY5	SSY5-2	7.14	14
21	YAL012W	28.709528061351	24	0.25	FALSE	8	15	7	SSY5	SSY5-3	7.15	15
22	YAL012W	28.72503945018	25	0.21875	FALSE	7	1	8	WT	WT-1	8.1	1
23	YAL012W	28.7511645416173	25	0.21875	FALSE	7	2	8	WT	WT-2	8.2	2
24	YAL012W	28.346830189792	20	0.375	FALSE	12	3	8	WT	WT-3	8.3	3
