Protein	IRA2	POP1	RAS21	RAS22	SAP155	SIT4	SSY5	WT
YBL047C	24.9249919408997	25.4122412335087	25.15591114723	25.9488172402215	25.1966348461057	26.1008882524945	24.9531968324586	26.1184040935495
YBL050W	26.0940042998575	26.4762462292599	26.4952636818863	26.708835523582	26.8599740036315	26.7703379812051	26.4613355574312	27.0182787213158
YBL051C	23.9947586306529	24.0051470034146	24.3932015574144	24.0907949929625	24.9879563259522	25.1641244652957	23.9854997526693	24.649298524815
YBL055C	24.5995890470525	23.8762802551554	23.329638449204	23.0260763097129	23.0293190156724	24.3181316024712	23.8024219315214	24.2397693717647
YBL056W	24.7299318555228	25.2124178604182	25.1565538300173	25.7401236047008	25.167865489255	25.9886770908781	25.4247332035923	26.3867049600729
YBL057C	22.7880407949833	22.8152935906434	23.0476372441462	22.9606567299648	22.2752978572888	23.0504918523119	23.02018161558	22.4084733184077
YBL058W	25.5753335702695	25.8045792371163	25.4813409855646	26.0383648599594	25.6753154051188	25.9821802051068	25.5086239611426	26.396292932694
YBL059C-A	NA	23.0690606336978	NA	23.8581821857382	23.3136284042735	24.5511849895123	22.6889222424615	23.8343778930987
YBL061C	NA	24.2645559167577	26.316141798216	23.9857845560967	24.8516547608932	26.0994508784189	25.1030554573814	26.4276892561351
YBL064C	23.7318122701401	24.9770096363782	24.8059078016746	26.6472701129045	26.6533146279744	27.2613924188453	24.2339948222394	25.1336377488606
YBL068W	24.5241855667585	23.665954419883	24.1900626632145	23.7289068974694	24.3541167056039	24.4752346321021	24.7206537633347	25.1631553046088
YBL069W	25.6353585935952	26.065112843896	24.9047481339038	25.8388738959963	26.1974003371004	25.3337831438047	24.9723902250023	25.7761958515428
YBL075C	NA	NA	NA	25.4985832859856	24.8275753303953	25.0841277733957	NA	24.1448770613073
YBL076C	26.6064353630914	25.9527331423251	26.2517600535671	25.4079718766449	25.4427229124097	26.1869308975767	26.7110619933915	26.6248345111017
YBL078C	NA	NA	NA	25.2606355465542	25.2476981131168	24.6999673939695	25.9542609078661	NA
YBL079W	NA	26.5975234872809	26.492317455838	26.4920135166239	26.3432506668626	26.9940212689109	28.6092003132951	26.6324121857703
YBL085W	24.948058362088	23.8745391095736	24.0268738891713	23.6791287240308	23.9486275037172	24.7255467863426	23.8200066994264	24.6505009617728
YBL090W	24.0191598233793	23.8771717666391	24.9565040324603	23.4312915004187	23.8573148443749	23.9508314894481	23.059651369429	25.1552439919745
YBL091C	26.6553190147928	26.4927794991383	26.4215514707174	26.5785256514733	26.202354358548	26.1074638567906	26.6920785382753	26.9378379646013
YBL092W	28.7573151909823	28.1105137912831	28.4065094664126	28.4406092798271	28.4407594486951	28.2781655803711	28.6952199884597	28.4346358402752
YBL098W	23.9972605659412	24.9038034045366	NA	NA	24.3529153806975	NA	NA	24.2640000210256
YBL099W	25.546112396995	26.4578243894359	26.2515704406361	26.9309584647095	27.551007029007	28.9011160418915	25.5072893006618	26.5331778081147
YBL101C	NA	22.8011071800943	23.1368027090384	22.9751946330736	22.7547522794449	22.8046481083645	22.665445590017	23.1117483678355
YBL102W	NA	24.8840671737097	24.7731803351976	25.2026995326336	25.0951078015643	25.5362979776348	26.0280515845783	24.6337261461749
YBL103C	NA	25.078592621522	24.654728131806	24.5190557538352	24.8552528448015	NA	24.9347742701509	25.6500555432636
YBL104C	24.2742190193738	NA	24.8624218624818	24.7859793481759	25.2161017303108	25.6218580514171	22.9992685673837	24.5758210550476
YBL105C	23.9138032842922	NA	24.7176065278852	24.4025762293176	24.6763970657772	24.8564835420703	NA	24.414180705345
YBL107C	NA	23.2141398709727	23.6379003520812	24.2429544030727	23.0876579779577	22.6479371607472	22.6286453110489	22.8480800537511
YBR001C	NA	NA	24.4818518748066	NA	NA	26.0971395702308	NA	NA
YBR003W	22.4646457663197	23.2120773440554	22.0164381633149	23.6554786092499	22.8281432976075	22.9263704062028	21.787853395995	22.7705127618736
YBR006W	NA	23.9767509135931	23.8261670057856	24.3941885615624	23.7373123741072	25.484086670678	23.3034081369984	24.4588236562472
YBR011C	28.5802246727112	28.5009510146353	28.7775215198418	28.5431514647241	28.3803139061261	28.6920165805513	28.987999862999	28.5883940596052
YBR014C	23.3626968059003	23.5408279677049	23.5400552042706	23.8264321000049	23.9361282372591	23.0716284176224	22.7029002580978	24.3016986592073
YBR015C	24.1282982431274	22.7651661801606	23.4242536126459	23.4268482145343	23.2280214897601	23.8640159678833	23.9725261671963	24.3618478452749
YBR016W	23.4319051082678	24.4679738510457	24.0219352326355	24.4892607698394	24.3314731158724	24.171170753861	24.7712953312039	23.8548416196723
YBR017C	23.8152418177809	23.5952135132322	23.918883131654	24.06475932693	23.3721164510967	23.7503625238423	25.0171776873552	24.6765427816723
YBR022W	NA	NA	NA	NA	24.6089201910905	24.9588611604923	24.0879763818069	23.9054366564161
YBR025C	27.6109342847623	26.7364367533737	27.0144019475161	26.6579250467152	26.3526750428444	27.0586875442787	27.5211077840889	27.4978736299046
YBR026C	25.1801930635228	26.275996835507	25.5328327644589	27.3517335650091	25.7633745780096	27.0570652726056	25.1914245729169	26.4094903322287
YBR029C	24.3765987495582	23.600619495339	24.7624761980248	23.4889881417146	23.9897128353289	24.5118111195658	25.3164829051919	23.7715546034704
YBR030W	23.655395690929	24.6932739122657	24.7648761463469	25.6791842639575	25.2535782448306	25.5799730936816	24.9004579461807	25.8368352861302
YBR031W	29.5804316189105	27.4539146882796	28.8962634870251	27.8248432927225	27.668760343336	27.8763306749778	29.0222554449451	29.4249630626199
YBR034C	24.4881443050235	23.3317711850501	24.7619675072146	23.8915507854531	23.5653448307332	24.0802696066366	24.2627665396707	25.2114608390451
YBR035C	25.8612258280369	26.9024592893289	26.2211236204825	26.7371209792994	26.599612799619	26.2119381778315	26.4974427452808	25.9830057803375
YBR037C	23.0152542428629	23.1231979654083	22.8352619997279	23.8917012378775	22.2407264196759	22.6912185201036	22.4316870322267	22.7895096257989
YBR039W	25.4116294867491	26.2633066657211	25.6521031526092	26.6547356968024	27.7336605456829	28.8215000122378	25.1687153926996	26.6196896183003
YBR041W	25.5686810729928	24.7064919228014	25.6090844904153	NA	25.0136825382419	24.6825096965871	24.758142170666	24.5094540621054
YBR042C	25.3713039088864	25.1028151113036	25.3607466806452	25.3943421789136	25.3913746483837	24.9548516409621	25.4604521011666	25.814187134632
YBR046C	23.1770999994141	24.9762129711879	23.1074544643004	24.7653060384902	23.8419701604513	22.3113958230454	23.5431402955089	24.2039120622951
YBR049C	23.2907135509683	24.4184002578344	23.0060662064208	24.464699680268	23.5277098512275	24.4700865615191	23.4754863819554	24.6407904324037
YBR052C	23.8234510751638	25.5910387798655	25.0513803912651	26.1706344225931	24.7503422959559	25.1597764472861	23.977008017397	26.4613919080101
YBR053C	24.1457496004452	24.8532456836669	24.3361989875218	24.3523814505373	NA	24.3400189853744	24.598163274385	25.2184427926102
YBR054W	27.3453670109525	27.4017962932748	26.502937168286	26.7055580703285	28.2427853454553	28.4607533979088	25.6912938659783	26.7858300256086
YBR056W	22.8766858985967	23.7738110291746	24.1387495342239	24.6327978184144	22.5630890737566	24.3895031511546	23.3235222622484	24.6536313044774
YBR057C	24.1857598987691	NA	NA	24.5604889398767	NA	NA	NA	24.7491203487282
YBR058C	22.4383953615072	23.5849404649193	22.432685547361	22.7124801117553	22.7520791839509	23.9683906327008	22.7743137755446	23.9373770914741
YBR059C	21.7054050389788	22.5242869166066	22.1255321135122	22.774364983174	22.3844106717414	22.6949478084119	22.0528645919049	23.1428041193029
YBR061C	25.6915061251905	25.8042704040978	25.901816305597	25.1588243778481	25.3954743490579	25.5084214554767	25.7591711897845	25.5838022811031
YBR071W	NA	NA	NA	25.6705311360717	NA	25.5860816681872	NA	NA
YBR072W	22.2586040264965	27.1141411962338	25.7755578213479	28.5046994499715	29.0057831143415	29.446475076678	23.7416217617311	24.2535015667289
YBR074W	25.3220336396961	NA	25.1644931171011	NA	NA	NA	NA	24.7279290429662
YBR077C	25.423013641772	25.2255524252105	26.1960838282714	25.2234527727167	25.677692239352	24.9492431495777	25.1457420960994	25.2461102882172
YBR078W	28.5796011802522	28.4762408939445	28.6780127587019	28.9894887970591	28.2093877431443	29.1066134458922	29.2220652327296	29.3000789753446
YBR079C	26.4217841099799	25.815195800749	26.4539288084128	25.7894438703174	25.3865570492482	26.0289774267816	26.0632258155389	26.7664429477323
YBR080C	25.4522117430361	24.9973591870291	25.6499775007463	24.8561587564283	24.3578525102481	26.1123787725914	25.555655963422	26.1132420560926
YBR081C	22.5724724256804	22.8972732479725	22.8173306240711	23.170320935133	NA	22.9469508265573	22.8527211187716	NA
YBR082C	26.0161548993537	24.6016941385757	25.117967397552	24.4451223678419	24.6202574101243	26.2302539618373	25.6023150659201	25.0872520734895
YBR084W	26.0697125906217	25.5494903292172	25.4400465647915	25.4272745271694	25.1843182102174	25.6354663811654	25.6551978609091	26.7226873843265
YBR085C-A	23.1457962509142	24.7523242826529	25.6073173472909	27.4485659243691	25.4972204256496	26.6513657947527	25.1639160302324	25.0368302580177
YBR086C	24.1992076054794	23.9817892667792	24.3322011543791	23.7441643060397	23.5953613948746	24.0045477139565	24.7548887519387	24.4117433914947
YBR087W	23.1446128042625	23.5640077677412	25.2749328254151	24.127930438675	24.1971521713142	23.6861266718989	25.2945646363304	23.8658934196815
YBR088C	26.4449787653988	26.8132616626954	26.9626602052039	26.8307124162839	25.7130744981794	26.4844033296152	26.7789309999253	27.3451274135166
YBR089C-A	24.6016354893031	25.7925594464555	25.3275409943735	26.2460373304573	25.3557083968627	26.2284896654057	25.1562134444585	25.8003297349516
YBR091C	NA	NA	NA	23.285728001173	NA	NA	24.7858321676157	NA
YBR092C	25.810233055446	25.1978730246954	25.6252627968657	25.1815416404233	25.5641763046083	25.6533278246532	22.7489625771297	26.1899646366146
YBR093C	NA	22.8051273037977	23.5979952514575	22.5782068489426	26.6964124540978	27.2038635972591	22.1383609917198	23.170501155143
YBR094W	23.7692987425836	24.1741617958261	23.3977829573439	23.6031477743453	22.3372084418792	23.6502231371747	22.6651343556986	23.8717016873234
YBR095C	24.411607441983	25.1821409601869	24.184617388269	24.6838167762234	24.1448452786842	25.2567842884044	24.2212354238057	24.0055984771526
YBR096W	23.8799735058925	24.1838799706965	24.616332385013	NA	24.1613783065456	24.037449288021	24.4660730965868	23.9440534615975
YBR101C	26.222232261222	24.8712269544592	25.7397482615132	24.3008330842343	24.4193871552563	25.946470766711	26.2551176494961	25.5996153980858
YBR102C	24.5250441636215	23.8655497304858	24.4202571496626	24.7666784619532	24.4683754297771	23.4647314583505	24.6043210028532	25.3552107187763
YBR103W	23.7493632221112	NA	23.7141922908621	NA	23.2212980989105	NA	23.8006080345701	24.6564951787278
YBR106W	26.4435457643178	25.0661026829287	25.7983930587508	25.0586571328441	24.951488636281	26.1412816877364	26.7259262521045	26.7683446776794
YBR108W	23.1369798713755	23.842028079647	23.85377139322	23.7290045510663	22.7835808146772	23.0236435287879	23.6418847658148	23.7524197813115
YBR109C	27.6822715548698	27.7297212882449	28.3742081635744	27.6397057264193	27.7723888060405	27.5060039634079	28.3445526883513	27.8570881472644
YBR111C	25.0526539610719	26.4734532785155	25.2961948809125	26.7268888000724	25.9340825143088	26.5932704155959	25.2653762695469	26.5096922031139
YBR111W-A	25.2142933092386	NA	NA	NA	25.3048099436777	NA	24.5077785000649	24.8976498240527
YBR112C	24.479150622497	24.1978742912572	23.925777384802	23.8853395692734	23.8255394453111	23.6102242868306	23.7706216017143	24.9920059055144
YBR115C	24.4781690066281	25.7451249801514	24.6626168087721	23.4554872561307	24.7539601675932	24.8304120215687	25.2757233985335	24.0068900674139
YBR117C	22.8359606564501	23.3540739443903	22.7114412447501	28.1349240877221	24.1359763419073	24.3926544592927	23.0332338480585	23.2319536041085
YBR120C	NA	23.7432382932802	23.3874459584704	23.5533494317314	24.3108527287249	25.8331180461744	23.5344658505773	25.0809028275989
YBR121C	27.4209299856761	27.2363648082108	27.2934720191886	27.2230743865306	26.8617253057095	27.3982700808353	27.2607165078678	27.557747613261
YBR122C	25.1145166684665	26.080457727472	24.6824453894648	25.8196910740849	26.3559231750692	26.5826859146823	25.8112804344542	25.7166521840192
YBR123C	25.198897441045	NA	NA	25.241900240708	NA	25.0001598911608	25.5950205120158	24.7268371027905
YBR125C	25.8523653160295	25.6491392933807	NA	25.8074715644324	NA	25.8655310826977	26.258322509613	26.5703328091885
YBR126C	24.1277749263331	25.6697273985241	25.3640593812742	27.2594596769857	25.2125963755127	26.5452193423454	25.3337939525764	26.3422401633389
YBR126W-A	NA	NA	NA	NA	24.5891855113929	27.6430447076805	NA	27.0492726091701
YBR127C	27.6941284926929	27.928521904343	27.7666440124921	28.3281581039509	27.6394111056088	28.0597651617169	27.8410250228094	28.1338159587554
