FDR0.05_count,n,prop,ypos
8+,29,4.084507042253521,2.0422535211267605
7,21,2.9577464788732395,5.56338028169014
6,18,2.535211267605634,8.309859154929576
5,34,4.788732394366197,11.971830985915494
4,50,7.042253521126761,17.887323943661972
3,84,11.830985915492958,27.323943661971832
2,115,16.19718309859155,41.33802816901409
1,359,50.563380281690144,74.71830985915493
