Eno2,Fas1,Fas2,Htb2,Rnr2,Rpl9A,Ssa1,Tdh1,Tdh2,Tdh3,Yhb1
1,0.5728096784398903,0.6612387518274495,0.8781350746354084,0.8632944293194055,0.6984024097101573,0.8050685199070856,0.38968051591409714,0.8802419032807794,0.9243961314806317,0.7413895910119567
0.5728096784398903,1,0.9016379050466574,0.7730036518642586,0.7331247705898501,0.5237320561518906,0.39784803140067676,0.429091136530655,0.7881016393930859,0.7924592651377689,0.7129830646422944
0.6612387518274495,0.9016379050466574,1,0.740501048218027,0.9167552920665226,0.7948009123916815,0.5877757329575344,0.9989199967995698,0.737715798353733,0.8828725584396474,0.7783926302104008
0.8781350746354084,0.7730036518642586,0.740501048218027,1,0.8383752394322934,0.7382929128579144,0.737020069106112,0.16753598407961037,0.9382894172247023,0.911310143199804,0.8445659962002752
0.8632944293194055,0.7331247705898501,0.9167552920665226,0.8383752394322934,1,0.838722895980176,0.7923914641168772,0.36200407277084956,0.9197320831294739,0.9270646764508164,0.6540986802912785
0.6984024097101573,0.5237320561518906,0.7948009123916815,0.7382929128579144,0.838722895980176,1,0.4611687345783873,-0.29952244483940627,0.673996163048122,0.8255278850588025,0.7603768526300457
0.8050685199070856,0.39784803140067676,0.5877757329575344,0.737020069106112,0.7923914641168772,0.4611687345783873,1,0.6695501095623014,0.9122579154038789,0.872550535399671,0.6157316381263142
0.38968051591409714,0.429091136530655,0.9989199967995698,0.16753598407961037,0.36200407277084956,-0.29952244483940627,0.6695501095623014,1,0.5011716848053591,0.6916029896247039,0.16693448004574274
0.8802419032807794,0.7881016393930859,0.737715798353733,0.9382894172247023,0.9197320831294739,0.673996163048122,0.9122579154038789,0.5011716848053591,1,0.9484245982412044,0.7536232738964451
0.9243961314806317,0.7924592651377689,0.8828725584396474,0.911310143199804,0.9270646764508164,0.8255278850588025,0.872550535399671,0.6916029896247039,0.9484245982412044,1,0.7322497662382564
0.7413895910119567,0.7129830646422944,0.7783926302104008,0.8445659962002752,0.6540986802912785,0.7603768526300457,0.6157316381263142,0.16693448004574274,0.7536232738964451,0.7322497662382564,1
